data_file,v_makespan,v_end_sum
cp2025/t012-02.dzn,2545,18965
cp2025/t012-03.dzn,2387,20242
cp2025/t012-04.dzn,2445,17606
cp2025/t012-05.dzn,2131,12868
cp2025/t012-06.dzn,2528,21379
cp2025/t013-01.dzn,2693,24732
cp2025/t013-02.dzn,2561,18729
cp2025/t013-03.dzn,2721,22950
cp2025/t013-04.dzn,2696,18829
cp2025/t013-05.dzn,2541,19185
cp2025/t013-06.dzn,2690,24225
cp2025/t014-01.dzn,2863,24505
cp2025/t014-02.dzn,2914,25923
cp2025/t014-03.dzn,2950,28975
cp2025/t014-04.dzn,2818,18580
cp2025/t014-05.dzn,2899,22000
cp2025/t014-06.dzn,2919,26015
cp2025/t015-01.dzn,2556,20200
cp2025/t015-02.dzn,2944,29331
cp2025/t015-03.dzn,2667,26624
cp2025/t015-04.dzn,3101,37820
cp2025/t015-05.dzn,3067,25103
cp2025/t015-06.dzn,2614,28772
cp2025/t016-01.dzn,3348,37123
cp2025/t016-02.dzn,3262,32002
cp2025/t016-03.dzn,3244,34384
cp2025/t016-04.dzn,3097,34864
cp2025/t016-05.dzn,3013,29532
cp2025/t016-06.dzn,2932,32567
cp2025/t017-01.dzn,3423,31826
cp2025/t017-02.dzn,3498,39023
cp2025/t017-03.dzn,2613,29327
cp2025/t017-04.dzn,3535,37791
cp2025/t017-05.dzn,3307,41503
cp2025/t017-06.dzn,3389,45898
cp2025/t018-01.dzn,3516,37495
cp2025/t018-02.dzn,3348,41116
cp2025/t018-03.dzn,3196,41867
cp2025/t018-04.dzn,3846,41700
cp2025/t018-05.dzn,3531,40436
cp2025/t018-06.dzn,2977,38244
cp2025/t019-01.dzn,4088,51405
cp2025/t019-02.dzn,3896,51681
cp2025/t019-03.dzn,4102,52049
cp2025/t019-04.dzn,3828,44193
cp2025/t019-05.dzn,4118,56031
cp2025/t019-06.dzn,3811,49970
cp2025/t020-01.dzn,3933,54773
cp2025/t020-02.dzn,4212,62295
cp2025/t020-03.dzn,4139,66626
cp2025/t021-01.dzn,4222,50375
cp2025/t021-02.dzn,4089,48361
cp2025/t021-03.dzn,4234,56095
cp2025/t022-01.dzn,4426,59626
cp2025/t022-02.dzn,4487,78069
cp2025/t022-03.dzn,4305,58484
cp2025/t025-01.dzn,5065,75104
cp2025/t025-02.dzn,5349,77472
cp2025/t025-03.dzn,5161,78742
cp2025/t030-01.dzn,6117,112317
cp2025/t030-02.dzn,6259,104435
cp2025/t030-03.dzn,5999,130027
cp2025/t035-01.dzn,6901,114348
cp2025/t035-02.dzn,7683,163366
cp2025/t035-03.dzn,7026,157494
cp2025/t040-01.dzn,8024,187529
cp2025/t040-02.dzn,8032,173529
cp2025/t040-03.dzn,7804,202950
cp2025/t045-01.dzn,8935,210259
cp2025/t045-02.dzn,9003,236106
cp2025/t045-03.dzn,9238,238252
cp2025/t050-01.dzn,10209,312261
cp2025/t050-02.dzn,9977,271904
cp2025/t050-03.dzn,10078,314678
icaps21/1TrainDestination.dzn,11,11
icaps21/1TrainNoStop.dzn,15,15
icaps21/1TrainOrigin.dzn,10,10
icaps21/1TrainStop.dzn,16,16
icaps21/2TrainStop.dzn,19,35
icaps21/3TrainStop.dzn,26,61
icaps21/3Trains_2Stop_1Destination.dzn,21,56
icaps21/4Trains_2Stop_1Origin_1Destination.dzn,24,80
icaps21/5Trains.dzn,438,1892
