"configuration","problem","model","data_file","status","time","objectiveBound","variables","solveTime","paths","intVars","peakMem","run","flatBoolVars","nodes","flatIntConstraints","openNodes","failures","peakDepth","initTime","propagations","boolVariables","flatIntVars","nSolutions","evaluatedHalfReifiedConstraints","flatBoolConstraints","flatTime","solver_objective","propagators","optTime","method","eliminatedImplications","backjumps","restarts","objective","randomSeed","eliminatedLinearConstraints","evaluatedReifiedConstraints","baseMem","nogoods","trailMem"
"cpotimizer_free_fixedorder_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t007-01.dzn","OPTIMAL_SOLUTION","3.7582448770990595","12004","427","3.11","0","","21.0","endtimes_reverse-cp2025_big","1243","18959","1152","","9681","","0.04","","","323","5","","973","0.27875","12005","1134","","minimize","121","","","12005","","","884","","",""
"cpsat_free_fixedorder_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t016-01.dzn","SATISFIED","301.5878959191032","158945","","277.224","0","","","endtimes_reverse-cp2025_big","3846","","4727","","0","","","0","0","2269","53","1134","3630","0.955161","172784","","","minimize","1452","","","172784","","","1134","","",""
"cpsat_fixed_standard_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t040-02.dzn","UNKNOWN","305.73484752792865","","","","0","","","endtimes_reverse-cp2025_big","15196","","12530","","","","","","","6203","0","5670","18150","2.35274","","","","minimize","7260","","","","","","5670","","",""
"cpsat_fixed_fixedorder_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t013-01.dzn","SATISFIED","301.5129255820066","106547","","2.53303","0","","","endtimes_reverse-cp2025_big","3300","","4188","","736","","","343762","619","2003","1","945","3025","0.878446","138515","","","minimize","1210","","","138515","","","945","","",""
"chuffed_fixed_priority_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t008-06.dzn","OPTIMAL_SOLUTION","4.699950875015929","","151166","3.561","0","653","0.0","endtimes_reverse-cp2025_big","3332","2371","3199","","1867","122","0.189","17433837","150511","645","2","144","2395","0.510723","12156","5194","0.25","minimize","242","262","2","12156","100851477","","2506","0.0","1867","3.16"
"chuffed_fixed_fixedorder_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t025-02.dzn","SATISFIED","304.99537125602365","","","","0","","","endtimes_reverse-cp2025_big","58032","","55773","","","","","","","3790","1","1035","34928","3.98579","","","","minimize","1815","","","208015","","","52726","","",""
"cpsat_fixed_standard_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t011-04.dzn","SATISFIED","300.98381053702906","66424","","5.89944","0","","","endtimes_reverse-cp2025_big","2680","","3510","","6190","","","2165263","1363","1672","1","756","2420","0.76247","81578","","","minimize","968","","","81578","","","756","","",""
"chuffed_fixed_priority_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t014-06.dzn","UNKNOWN","302.71391533780843","","","","0","","","endtimes_reverse-cp2025_big","20156","","20489","","","","","","","2076","0","353","11728","1.6387","","","","minimize","605","","","","","","17746","","",""
"cpsat_free_fixedorder_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t019-01.dzn","SATISFIED","302.29727178718895","192628","","232.681","0","","","endtimes_reverse-cp2025_big","5254","","5681","","7485","","","11011972","3596","2753","47","1701","5445","1.10893","200967","","","minimize","2178","","","200967","","","1701","","",""
"gurobi_free_fixedorder_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t040-03.dzn","UNKNOWN","308.49220178998075","249652.669327","","262.417899","0","","","endtimes_reverse-cp2025_big","11744","1","221469","","","","","","","139065","0","127696","","37.5819","","","","minimize","","","","","","9150","12618","","",""
"chuffed_fixed_standard_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t004-01.dzn","OPTIMAL_SOLUTION","0.6558816619217396","","4859","0.01","0","297","0.0","endtimes_reverse-cp2025_big","1017","85","907","","26","57","0.056","9638","4560","292","1","72","885","0.284072","2374","1304","0.009","minimize","121","3","1","2374","2080484582","","628","0.0","26","0.63"
"chuffed_fixed_standardrestart_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t019-04.dzn","SATISFIED","303.4068372491747","","","","0","","","endtimes_reverse-cp2025_big","35596","","34892","","","","","","","2766","3","629","21152","2.63286","","","","minimize","1089","","","202118","","","32026","","",""
"chuffed_fixed_standard_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t010-06.dzn","SATISFIED","302.06384646496736","","","","0","","","endtimes_reverse-cp2025_big","13084","","13352","","","","","","","1647","1","276","7876","1.30688","","","","minimize","484","","","36593","","","11184","","",""
"chuffed_fixed_fixedorderrestart_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t010-03.dzn","SATISFIED","301.26169639697764","","218347","299.258","0","1040","0.0","endtimes_reverse-cp2025_big","5654","242410","6028","","164297","145","0.567","517989061","217305","1021","4","148","3408","0.735396","44374","9897","1.781","minimize","242","76960","19","44374","-1444542304","","4532","0.0","164297","2.11"
"cpotimizer_free_fixedorder_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t011-03.dzn","SATISFIED","301.7511794460006","37183","1834","299.02","0","","276.0","endtimes_reverse-cp2025_big","9638","518521","9924","","245989","","0.46","","","1313","69","","5764","0.986184","50129","7278","","minimize","363","","","50129","","","8319","","",""
"cpsat_fixed_standard_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t013-03.dzn","SATISFIED","300.8594837579876","67637","","139.565","0","","","endtimes_reverse-cp2025_big","2150","","2969","","256153","","","126687380","1568","1413","7","567","1815","0.694913","73654","","","minimize","726","","","73654","","","567","","",""
"cpotimizer_free_fixedorder_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t015-01.dzn","SATISFIED","302.6241433038376","74244","2825","149.79","0","","434.0","endtimes_reverse-cp2025_big","21065","228937","21380","","105514","","1.08","","","2057","35","","12165","1.74988","93933","14295","","minimize","605","","","93933","","","18980","","",""
