"configuration","problem","model","data_file","status","time","objectiveBound","peakDepth","eliminatedLinearConstraints","flatIntVars","propagations","intVars","method","flatBoolConstraints","nodes","objective","restarts","evaluatedReifiedConstraints","flatTime","optTime","initTime","flatIntConstraints","randomSeed","nSolutions","failures","paths","solver_objective","variables","run","propagators","eliminatedImplications","baseMem","trailMem","openNodes","evaluatedHalfReifiedConstraints","solveTime","peakMem","boolVariables","flatBoolVars","nogoods","backjumps"
"chuffed_free_priority_col0","reverse-cp2025","../models/solve_makespan.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t050-03.dzn","UNKNOWN","310.67668405384757","","","","7877","","","minimize","118786","","","","191892","12.3903","","","195252","","0","","0","","","makespan_reverse-cp2025","","4840","","","","2735","","","","204267","",""
"cpsat_free_fixedorder_col0","reverse-cp2025","../models/solve_makespan.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t022-02.dzn","OPTIMAL_SOLUTION","20.945678702788427","4487","","","2593","3756101","","minimize","7260","","4487","","2268","1.00695","","","5264","","60","2742","0","4487","","makespan_reverse-cp2025","","2904","","","","2268","10.5383","","806","6174","",""
"gurobi_free_fixedorder_col0","reverse-cp2025","../models/solve_makespan.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t008-06.dzn","OPTIMAL_SOLUTION","1.5705317580141127","1605","","610","3259","","","minimize","","1","1605","","1168","0.966522","","","5562","","4","","0","1605","","makespan_reverse-cp2025","","","","","","2496","1.1988","","","929","",""
"chuffed_fixed_standardrestart_col0","reverse-cp2025","../models/solve_makespan.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t021-01.dzn","OPTIMAL_SOLUTION","6.992076326161623","","563","","2417","7354200","2432","minimize","16846","3349","4222","3","21130","1.8485","1.333","2.163","22577","400902918","1","368","0","4222","43764","makespan_reverse-cp2025","41176","1331","0.0","4.75","","764","1.334","0.0","41330","24747","368","2398"
"cpsat_free_fixedorder_col0","reverse-cp2025","../models/solve_makespan.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t003-01.dzn","OPTIMAL_SOLUTION","0.546117563964799","612","","","50","0","","minimize","","","612","","","0.187941","","","126","","1","0","0","612","","makespan_reverse-cp2025","","","","","","","0.028488","","0","40","",""
"chuffed_fixed_fixedorderrestart_col0","reverse-cp2025","../models/solve_makespan.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t050-02.dzn","OPTIMAL_SOLUTION","76.0494253099896","","1985","","7861","226874941","7901","minimize","118186","26772","9977","11","190692","11.9794","38.535","15.686","194016","344575081","1","19205","0","9977","370812","makespan_reverse-cp2025","375937","4840","0.0","54.07","","2735","38.597","0.0","362909","203057","19205","6349"
"gurobi_free_fixedorder_col0","reverse-cp2025","../models/solve_makespan.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t025-02.dzn","SATISFIED","302.6203317991458","5203","","4575","43402","","","minimize","","1089","5349","","6839","11.5861","","","71389","","2","","0","5349","","makespan_reverse-cp2025","","","","","118","37641","301.1431","","","5969","",""
"gurobi_free_fixedorder_col0","reverse-cp2025","../models/solve_makespan.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t020-02.dzn","OPTIMAL_SOLUTION","23.320857274113223","4212","","3050","23157","","","minimize","","156","4212","","4526","6.0711","","","38865","","7","","0","4212","","makespan_reverse-cp2025","","","","","46","19376","22.4337","","","4059","",""
"chuffed_fixed_priority_col0","reverse-cp2025","../models/solve_makespan.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t016-05.dzn","OPTIMAL_SOLUTION","5.62025378504768","","417","","1798","14947181","1809","minimize","10689","8247","3013","1","12242","1.23695","1.94","1.304","13378","-1233608516","1","5180","0","3013","100292","makespan_reverse-cp2025","23833","968","0.0","10.68","","553","1.947","0.0","98481","14897","5180","2654"
"cpsat_fixed_fixedorder_col0","reverse-cp2025","../models/solve_makespan.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t015-06.dzn","OPTIMAL_SOLUTION","20.94008206902072","2826","","","1210","23354407","","minimize","3025","","2826","","945","0.547011","","","2485","","6","52726","0","2826","","makespan_reverse-cp2025","","1210","","","","945","17.6217","","1666","2678","",""
