"configuration","problem","model","data_file","status","time","failures","paths","run","intVars","method","randomSeed","backjumps","solveTime","nogoods","flatTime","error","openNodes","evaluatedReifiedConstraints","eliminatedImplications","flatIntVars","nodes","flatIntConstraints","propagators","restarts","trailMem","baseMem","eliminatedLinearConstraints","flatBoolConstraints","flatBoolVars","initTime","evaluatedHalfReifiedConstraints","nSolutions","boolVariables","peakDepth","propagations","peakMem","variables"
"gurobi_free_fixedorder_col4","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t007-04.dzn","SATISFIED","1.7505377642810345","","0","sat_appear-cp2025","","satisfy","","","1.2951","","1.08074","","","1371","","3978","0","7301","","","","","987","","1233","","2734","1","","","","",""
"chuffed_fixed_standardrestart_col1","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t006-04.dzn","SATISFIED","0.8174094371497631","1","0","sat_appear-cp2025","598","satisfy","552596797","2","0.01","1","0.363245","","","567","196","592","60","1222","1543","0","0.63","0.0","","1050","1096","0.071","211","1","10126","56","6254","0.0","10726"
"cpsat_fixed_fixedorder_col3","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t016-02.dzn","ERROR","0.21065212786197662","","","sat_appear-cp2025","","","","","","","","no function or predicate with name `fzn_cumulative_opt' found","","","","","","","","","","","","","","","","","","","","",""
"chuffed_fixed_priorityrestart_col0","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t035-01.dzn","SATISFIED","15.22115745022893","81","0","sat_appear-cp2025","4988","satisfy","-1508091807","6","0.296","81","5.46106","","","79000","3025","4961","1362","81173","155192","0","10.68","0.0","","53775","86761","5.642","1700","1","109945","1274","990264","0.0","114935"
"chuffed_fixed_standard_col1","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t035-03.dzn","SATISFIED","17.490654576569796","114","0","sat_appear-cp2025","11770","satisfy","-1398957620","1491","3.119","114","7.52563","","","80859","4900","11739","2884","91621","166097","0","3.16","0.0","","59592","90726","3.595","5275","1","156773","1278","12757445","0.0","168545"
"cpotimizer_free_fixedorder_col1","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t009-02.dzn","UNKNOWN","300.6187023334205","11859779","0","sat_appear-cp2025","","satisfy","","","299.35","","0.638781","","","3300","393","1293","23776019","3949","3873","","","","","3633","4183","0.12","","0","","","","50.0","1238"
"chuffed_free_priority_col4","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t020-01.dzn","SATISFIED","4.098478142172098","0","0","sat_appear-cp2025","2551","satisfy","-1256702479","0","0.056","0","1.52163","","","15956","1360","2536","526","17579","31399","0","2.11","0.0","","14058","19282","1.367","900","1","36140","525","90034","0.0","38693"
"gurobi_free_fixedorder_col4","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t004-06.dzn","SATISFIED","1.3212393298745155","","0","sat_appear-cp2025","","satisfy","","","0.8731","","0.733302","","","890","","2533","0","4699","","","","","658","","811","","1700","1","","","","",""
"chuffed_free_priority_col4","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t006-01.dzn","SATISFIED","2.444574046880007","0","0","sat_appear-cp2025","958","satisfy","-1551655465","0","0.026","0","0.318875","","","1296","272","545","106","1695","2551","0","1.41","0.0","","1864","1990","1.486","180","1","861051","105","6677","0.0","862011"
"chuffed_fixed_fixedorderrestart_col4","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t012-01.dzn","SATISFIED","1.5525822266936302","2","0","sat_appear-cp2025","1096","satisfy","330386759","0","0.024","2","0.622275","","","3750","544","1088","216","4545","7421","0","3.16","0.0","","4307","5142","0.342","360","1","21334","213","23326","0.0","22432"
"cpsat_fixed_standard_col0","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t022-01.dzn","ERROR","0.21037647128105164","","","sat_appear-cp2025","","","","","","","","no function or predicate with name `fzn_cumulative_opt' found","","","","","","","","","","","","","","","","","","","","",""
"chuffed_fixed_fixedorderrestart_col3","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t019-02.dzn","SATISFIED","3.7569043897092342","1","0","sat_appear-cp2025","2535","satisfy","-1857343223","0","0.041","1","1.38324","","","13541","1269","2524","474","15320","26894","0","7.12","0.0","","12364","16644","1.267","909","1","28796","472","77721","0.0","31333"
"chuffed_fixed_standardrestart_col4","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t018-01.dzn","SATISFIED","3.185108695179224","1","0","sat_appear-cp2025","2076","satisfy","2012506011","4","0.047","1","1.26908","","","11496","1088","2064","427","12865","22643","0","7.12","0.0","","10612","14188","0.967","720","1","26355","421","86268","0.0","28433"
