"configuration","problem","model","data_file","status","time","failures","paths","run","intVars","method","randomSeed","backjumps","solveTime","nogoods","flatTime","error","openNodes","evaluatedReifiedConstraints","eliminatedImplications","flatIntVars","nodes","flatIntConstraints","propagators","restarts","trailMem","baseMem","eliminatedLinearConstraints","flatBoolConstraints","flatBoolVars","initTime","evaluatedHalfReifiedConstraints","nSolutions","boolVariables","peakDepth","propagations","peakMem","variables"
"cpsat_fixed_standard_col3","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t003-03.dzn","ERROR","0.2621358446776867","","","sat_appear-cp2025","","","","","","","","no function or predicate with name `fzn_cumulative_opt' found","","","","","","","","","","","","","","","","","","","","",""
"chuffed_fixed_fixedorderrestart_col0","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t004-02.dzn","SATISFIED","0.7803602032363415","0","0","sat_appear-cp2025","66","satisfy","-2102297315","0","0.009","0","0.183367","","","34","","62","7","162","175","0","0.12","0.0","","17","88","0.122","","1","103824","6","685","0.0","103892"
"chuffed_free_priority_col1","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t040-03.dzn","SATISFIED","25.70147731527686","18","0","sat_appear-cp2025","14070","satisfy","691932943","0","0.694","18","9.84509","","","113274","5880","14034","1544","126091","231702","0","4.75","0.0","","79632","125056","9.304","6330","1","184587","1525","829718","0.0","198659"
"cpsat_fixed_standard_col2","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t017-06.dzn","ERROR","0.21020294725894928","","","sat_appear-cp2025","","","","","","","","no function or predicate with name `fzn_cumulative_opt' found","","","","","","","","","","","","","","","","","","","","",""
"chuffed_fixed_priority_col4","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t013-06.dzn","SATISFIED","1.5937564745545387","0","0","sat_appear-cp2025","1111","satisfy","1998917151","0","0.022","0","0.595435","","","3772","544","1104","218","4600","7494","0","0.94","0.0","","4318","5180","0.399","360","1","16881","217","20246","0.0","17994"
"chuffed_fixed_priority_col4","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t040-01.dzn","SATISFIED","21.40224002674222","15","0","sat_appear-cp2025","7291","satisfy","-510080882","0","0.384","15","7.7088","","","111910","4080","7256","1549","116073","221667","0","7.12","0.0","","74195","121576","8.144","2700","1","153747","1533","765280","0.0","161040"
"chuffed_fixed_priority_col3","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t045-01.dzn","SATISFIED","28.61907872930169","61","0","sat_appear-cp2025","9244","satisfy","-209614645","6","0.615","61","10.3859","","","147965","4935","9206","1842","153696","294130","0","7.12","0.0","","95735","159466","10.844","3535","1","197558","1774","1423761","0.0","206804"
"chuffed_fixed_priorityrestart_col2","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t045-03.dzn","SATISFIED","29.867640990763903","36","0","sat_appear-cp2025","10801","satisfy","-1689914027","0","0.699","36","10.8045","","","150835","5460","10761","1817","158451","301345","0","24.03","0.0","","98465","162776","11.523","4305","1","207487","1780","1177555","0.0","218290"
"cpsat_free_fixedorder_col0","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t025-02.dzn","ERROR","0.21466775983572006","","","sat_appear-cp2025","","","","","","","","no function or predicate with name `fzn_cumulative_opt' found","","","","","","","","","","","","","","","","","","","","",""
"chuffed_fixed_fixedorderrestart_col3","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t015-04.dzn","SATISFIED","2.051485128700733","0","0","sat_appear-cp2025","1504","satisfy","-1267145342","0","0.025","0","0.776157","","","5285","705","1496","271","6456","10630","0","4.75","0.0","","5750","7096","0.584","505","1","16886","270","28942","0.0","18392"
"cpsat_free_fixedorder_col1","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t015-03.dzn","ERROR","0.2099352665245533","","","sat_appear-cp2025","","","","","","","","no function or predicate with name `fzn_cumulative_opt' found","","","","","","","","","","","","","","","","","","","","",""
"cpsat_fixed_fixedorder_col1","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t009-02.dzn","ERROR","0.2086510993540287","","","sat_appear-cp2025","","","","","","","","no function or predicate with name `fzn_cumulative_opt' found","","","","","","","","","","","","","","","","","","","","",""
"cpsat_fixed_standard_col2","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t009-04.dzn","ERROR","0.22166618704795837","","","sat_appear-cp2025","","","","","","","","no function or predicate with name `fzn_cumulative_opt' found","","","","","","","","","","","","","","","","","","","","",""
"chuffed_fixed_standardrestart_col0","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t022-01.dzn","SATISFIED","5.326721794903278","3","0","sat_appear-cp2025","2479","satisfy","-1033064971","26","0.087","3","1.92071","","","25360","1452","2465","651","26571","49511","0","4.75","0.0","","19532","29156","1.854","816","1","40619","621","246954","0.0","43100"
"chuffed_fixed_priority_col0","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t007-06.dzn","SATISFIED","0.7131567262113094","0","0","sat_appear-cp2025","298","satisfy","489233586","0","0.01","0","0.250056","","","562","121","299","59","848","1180","0","2.11","0.0","","852","949","0.071","68","1","8466","58","2988","0.0","8766"
"chuffed_fixed_standardrestart_col3","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t008-02.dzn","SATISFIED","0.8446029610931873","21","0","sat_appear-cp2025","410","satisfy","1299963201","17","0.013","21","0.304711","","","581","141","407","98","1024","1364","0","0.19","0.0","","912","1042","0.1","101","1","8204","59","21430","0.0","8616"
"cpsat_fixed_standard_col3","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t016-02.dzn","ERROR","0.21221977844834328","","","sat_appear-cp2025","","","","","","","","no function or predicate with name `fzn_cumulative_opt' found","","","","","","","","","","","","","","","","","","","","",""
"cpsat_fixed_fixedorder_col3","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t035-01.dzn","ERROR","0.22643565014004707","","","sat_appear-cp2025","","","","","","","","no function or predicate with name `fzn_cumulative_opt' found","","","","","","","","","","","","","","","","","","","","",""
"cpsat_fixed_fixedorder_col1","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t016-05.dzn","ERROR","0.20893796533346176","","","sat_appear-cp2025","","","","","","","","no function or predicate with name `fzn_cumulative_opt' found","","","","","","","","","","","","","","","","","","","","",""
"cpsat_free_fixedorder_col4","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t017-03.dzn","ERROR","0.2316734679043293","","","sat_appear-cp2025","","","","","","","","no function or predicate with name `fzn_cumulative_opt' found","","","","","","","","","","","","","","","","","","","","",""
"cpsat_fixed_standard_col2","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t014-05.dzn","ERROR","0.21715530008077621","","","sat_appear-cp2025","","","","","","","","no function or predicate with name `fzn_cumulative_opt' found","","","","","","","","","","","","","","","","","","","","",""
"chuffed_fixed_priority_col2","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t015-01.dzn","SATISFIED","2.0746326595544815","1","0","sat_appear-cp2025","1741","satisfy","1010948870","0","0.027","1","0.842486","","","5645","780","1731","270","7111","11595","0","1.41","0.0","","6115","7536","0.54","615","1","17203","268","35244","0.0","18946"
"chuffed_fixed_priorityrestart_col3","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t002-02.dzn","SATISFIED","0.606867078691721","0","0","sat_appear-cp2025","44","satisfy","741431323","0","0.007","0","0.182975","","","12","","41","4","94","98","0","0.19","0.0","","6","52","0.052","","1","40850","3","344","0.0","40896"
"chuffed_free_priority_col1","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t030-03.dzn","SATISFIED","13.509642913937569","14","0","sat_appear-cp2025","9474","satisfy","2146510392","0","0.318","14","5.18617","","","55108","3920","9444","1035","63815","113820","0","7.12","0.0","","42884","63060","4.757","4220","1","113699","1020","417207","0.0","123175"
"chuffed_fixed_standard_col4","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t006-01.dzn","SATISFIED","2.475792907178402","0","0","sat_appear-cp2025","958","satisfy","1640404942","0","0.025","0","0.324026","","","1296","272","545","106","1695","2551","0","1.41","0.0","","1864","1990","1.522","180","1","861076","105","6858","0.0","862036"
"chuffed_free_priority_col1","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t017-05.dzn","SATISFIED","3.434823367744684","34","0","sat_appear-cp2025","3492","satisfy","-247546838","6","0.054","34","1.45864","","","9139","1372","3477","409","12503","19867","0","3.16","0.0","","9935","12112","0.968","1477","1","36033","368","129859","0.0","39527"
"cpsat_fixed_fixedorder_col2","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t012-02.dzn","ERROR","0.21041199564933777","","","sat_appear-cp2025","","","","","","","","no function or predicate with name `fzn_cumulative_opt' found","","","","","","","","","","","","","","","","","","","","",""
"chuffed_fixed_priority_col2","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t008-04.dzn","SATISFIED","0.9755090437829494","0","0","sat_appear-cp2025","720","satisfy","1426786185","0","0.013","0","0.416147","","","1307","302","713","112","1956","2801","0","2.11","0.0","","1947","2101","0.135","235","1","12463","111","7784","0.0","13185"
"chuffed_fixed_standardrestart_col0","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t014-03.dzn","SATISFIED","2.4951422922313213","119","0","sat_appear-cp2025","1471","satisfy","-939761621","903","0.162","119","0.878881","","","8946","847","1465","1389","9705","17233","1","10.68","0.0","","8470","11177","0.687","476","1","23505","362","1288024","0.0","24978"
"chuffed_fixed_priorityrestart_col2","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t011-02.dzn","SATISFIED","1.5787058360874653","3","0","sat_appear-cp2025","1372","satisfy","-639885573","0","0.021","3","0.655986","","","3606","624","1366","215","4737","7419","0","2.11","0.0","","4437","5098","0.357","492","1","19288","211","25335","0.0","20662"
"cpotimizer_free_fixedorder_col0","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t004-01.dzn","SATISFIED","0.6795341186225414","3","0","sat_appear-cp2025","","satisfy","","","0.02","","0.21907","","","568","121","241","12","674","736","","","","","821","847","0.02","","1","","","","7.0","274"
"cpsat_fixed_standard_col0","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t012-05.dzn","ERROR","0.23478787392377853","","","sat_appear-cp2025","","","","","","","","no function or predicate with name `fzn_cumulative_opt' found","","","","","","","","","","","","","","","","","","","","",""
"gurobi_free_fixedorder_col4","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t007-06.dzn","SATISFIED","1.0030750297009945","","0","sat_appear-cp2025","","satisfy","","","0.5872","","0.546777","","","661","","1496","0","2573","","","","","329","","508","","1094","1","","","","",""
"chuffed_fixed_priorityrestart_col1","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t019-01.dzn","SATISFIED","4.4338346272706985","1","0","sat_appear-cp2025","4410","satisfy","-2034168510","0","0.067","1","1.96694","","","14575","1764","4395","474","18761","31049","0","7.12","0.0","","14186","18314","1.269","1899","1","46043","472","91354","0.0","50455"
"chuffed_fixed_fixedorderrestart_col2","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t016-04.dzn","SATISFIED","2.5304111801087856","0","0","sat_appear-cp2025","2043","satisfy","979002395","0","0.033","0","1.01874","","","7130","936","2032","322","8801","14544","0","4.75","0.0","","7516","9356","0.717","738","1","20962","321","39839","0.0","23007"
"cpsat_fixed_standard_col1","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t005-03.dzn","ERROR","0.2288699708878994","","","sat_appear-cp2025","","","","","","","","no function or predicate with name `fzn_cumulative_opt' found","","","","","","","","","","","","","","","","","","","","",""
"chuffed_fixed_standardrestart_col4","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t014-06.dzn","SATISFIED","1.9090050049126148","1","0","sat_appear-cp2025","1350","satisfy","747102291","2","0.027","1","0.709357","","","5200","680","1340","270","6155","10268","0","7.12","0.0","","5640","6925","0.522","450","1","23380","266","37400","0.0","24732"
"chuffed_free_priority_col4","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t019-02.dzn","SATISFIED","3.663372866809368","1","0","sat_appear-cp2025","2314","satisfy","259049597","0","0.05","1","1.33373","","","13710","1224","2300","474","15206","26989","0","7.12","0.0","","12327","16719","1.217","810","1","32025","472","79206","0.0","34341"
"chuffed_free_priority_col2","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t016-04.dzn","SATISFIED","2.503130666911602","0","0","sat_appear-cp2025","2043","satisfy","811341481","0","0.032","0","0.97895","","","7130","936","2032","322","8801","14544","0","4.75","0.0","","7516","9356","0.722","738","1","20962","321","39839","0.0","23007"
"chuffed_fixed_standardrestart_col2","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t007-04.dzn","SATISFIED","1.1277528516948223","1","0","sat_appear-cp2025","1000","satisfy","-206727158","1","0.015","1","0.47173","","","2097","468","991","160","2883","4292","0","4.75","0.0","","3024","3186","0.191","369","1","13390","157","14825","0.0","14392"
"chuffed_fixed_standardrestart_col4","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t019-06.dzn","SATISFIED","3.691175475716591","66","0","sat_appear-cp2025","2314","satisfy","-659055139","458","0.086","66","1.36615","","","14326","1224","2300","995","15822","28221","0","1.41","0.0","","12635","17335","1.201","810","1","38248","470","491589","0.0","40564"
"chuffed_fixed_priority_col3","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t007-05.dzn","SATISFIED","0.74992735683918","4","0","sat_appear-cp2025","388","satisfy","1257917203","0","0.01","4","0.287668","","","613","141","387","61","1016","1394","0","0.94","0.0","","928","1054","0.076","101","1","8562","56","7216","0.0","8952"
"chuffed_fixed_fixedorderrestart_col3","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t019-05.dzn","SATISFIED","3.5851506516337395","83","0","sat_appear-cp2025","2537","satisfy","-569445461","0","0.079","83","1.37648","","","13235","1269","2524","550","15014","26282","0","16.02","0.0","","12211","16338","1.124","909","1","34438","466","318912","0.0","36977"
"chuffed_free_priority_col1","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t017-03.dzn","SATISFIED","3.147150542587042","5","0","sat_appear-cp2025","3491","satisfy","49519546","0","0.049","5","1.42326","","","9119","1372","3477","372","12483","19827","0","4.75","0.0","","9925","12092","0.779","1477","1","36568","366","70933","0.0","40061"
"chuffed_free_priority_col0","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t015-04.dzn","SATISFIED","1.8415311723947525","0","0","sat_appear-cp2025","1128","satisfy","2127234046","0","0.025","0","0.659701","","","5220","605","1121","271","5913","10092","0","3.16","0.0","","5465","6881","0.533","340","1","15146","270","27217","0.0","16276"
"chuffed_fixed_fixedorder_col1","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t004-05.dzn","SATISFIED","1.6853126212954521","0","0","sat_appear-cp2025","543","satisfy","1156446659","0","0.02","0","0.317574","","","521","196","536","57","1073","1344","0","0.42","0.0","","1027","990","0.791","211","1","693116","56","3729","0.0","693661"
"chuffed_free_priority_col2","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t006-03.dzn","SATISFIED","0.757168635725975","0","0","sat_appear-cp2025","423","satisfy","-1115694134","0","0.009","0","0.292278","","","637","156","416","59","1066","1462","0","1.41","0.0","","977","1080","0.082","123","1","12098","58","4204","0.0","12523"
"chuffed_fixed_standard_col3","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t006-06.dzn","SATISFIED","0.7136834487318993","0","0","sat_appear-cp2025","366","satisfy","465902914","0","0.008","0","0.274782","","","577","141","360","61","938","1276","0","0.63","0.0","","910","1000","0.068","101","1","5694","60","3661","0.0","6062"
"chuffed_free_priority_col3","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t016-06.dzn","SATISFIED","2.352053802460432","0","0","sat_appear-cp2025","1762","satisfy","-1257168348","0","0.03","0","0.906847","","","6958","846","1753","322","8281","13914","0","2.11","0.0","","7208","9092","0.68","606","1","20544","321","38664","0.0","22308"
"chuffed_fixed_priorityrestart_col4","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t006-05.dzn","SATISFIED","0.698559109121561","0","0","sat_appear-cp2025","331","satisfy","976577163","0","0.01","0","0.254112","","","568","136","328","59","879","1214","0","0.12","0.0","","892","965","0.063","90","1","3799","58","3282","0.0","4132"
"cpsat_fixed_standard_col2","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t013-06.dzn","ERROR","0.20805061608552933","","","sat_appear-cp2025","","","","","","","","no function or predicate with name `fzn_cumulative_opt' found","","","","","","","","","","","","","","","","","","","","",""
"gurobi_free_fixedorder_col2","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t016-05.dzn","SATISFIED","7.633597303181887","","0","sat_appear-cp2025","","satisfy","","","6.8567","","4.89433","","","5210","","18783","1","33971","","","","","2880","","3352","","13020","1","","","","",""
"chuffed_fixed_standardrestart_col1","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t012-01.dzn","SATISFIED","1.968724925071001","2","0","sat_appear-cp2025","2057","satisfy","-981663197","0","0.027","2","0.941224","","","3842","784","2048","216","5877","8710","0","4.75","0.0","","4987","5606","0.4","844","1","26265","213","30312","0.0","28324"
"cpsat_fixed_standard_col3","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t021-02.dzn","ERROR","0.23941025137901306","","","sat_appear-cp2025","","","","","","","","no function or predicate with name `fzn_cumulative_opt' found","","","","","","","","","","","","","","","","","","","","",""
"gurobi_free_fixedorder_col1","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t014-04.dzn","SATISFIED","7.388342600315809","","0","sat_appear-cp2025","","satisfy","","","6.6835","","4.72525","","","5270","","16633","1","31193","","","","","2496","","2601","","10271","1","","","","",""
"chuffed_fixed_standard_col3","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t005-04.dzn","SATISFIED","0.7918431870639324","0","0","sat_appear-cp2025","149","satisfy","851512054","0","0.009","0","0.19839","","","26","","90","8","208","210","0","0.63","0.0","","13","106","0.198","","1","132333","7","916","0.0","132484"
"cpotimizer_free_fixedorder_col2","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t015-06.dzn","UNKNOWN","301.0133948624134","323282","0","sat_appear-cp2025","","satisfy","","","299.17","","0.818094","","","6254","655","1567","652362","6941","5930","","","","","6112","7655","0.25","","0","","","","116.0","1617"
"chuffed_fixed_priorityrestart_col3","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t019-02.dzn","SATISFIED","3.867753952741623","1","0","sat_appear-cp2025","2535","satisfy","-1849154007","0","0.049","1","1.42907","","","13541","1269","2524","474","15320","26894","0","7.12","0.0","","12364","16644","1.257","909","1","28796","472","77721","0.0","31333"
"cpotimizer_free_fixedorder_col4","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t019-02.dzn","SATISFIED","5.251206275075674","863","0","sat_appear-cp2025","","satisfy","","","2.06","","1.30985","","","14520","1134","2174","1852","15080","10920","","","","","12327","16809","0.57","","1","","","","291.0","2152"
"chuffed_fixed_fixedorderrestart_col1","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t025-03.dzn","SATISFIED","8.689460348337889","7","0","sat_appear-cp2025","7169","satisfy","247433429","0","0.189","7","3.5131","","","34001","2940","7149","778","40653","70831","0","24.03","0.0","","28498","40038","2.848","3165","1","76850","770","242030","0.0","84021"
"gurobi_free_fixedorder_col4","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t019-01.dzn","SATISFIED","7.860070265829563","","0","sat_appear-cp2025","","satisfy","","","7.0894","","5.22501","","","4047","","20036","1","34103","","","","","2961","","3669","","16305","1","","","","",""
"gurobi_free_fixedorder_col2","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t006-01.dzn","SATISFIED","1.6073938235640526","","0","sat_appear-cp2025","","satisfy","","","1.1596","","0.966371","","","1214","","3227","0","6025","","","","","720","","880","","2072","1","","","","",""
"cpsat_free_fixedorder_col2","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t030-01.dzn","ERROR","0.2315438687801361","","","sat_appear-cp2025","","","","","","","","no function or predicate with name `fzn_cumulative_opt' found","","","","","","","","","","","","","","","","","","","","",""
"cpsat_free_fixedorder_col1","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t011-02.dzn","ERROR","0.20920734107494354","","","sat_appear-cp2025","","","","","","","","no function or predicate with name `fzn_cumulative_opt' found","","","","","","","","","","","","","","","","","","","","",""
"cpsat_fixed_standard_col1","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t045-03.dzn","ERROR","0.22901920974254608","","","sat_appear-cp2025","","","","","","","","no function or predicate with name `fzn_cumulative_opt' found","","","","","","","","","","","","","","","","","","","","",""
"cpsat_fixed_fixedorder_col0","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t030-01.dzn","ERROR","0.21350346505641937","","","sat_appear-cp2025","","","","","","","","no function or predicate with name `fzn_cumulative_opt' found","","","","","","","","","","","","","","","","","","","","",""
"chuffed_fixed_priority_col0","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t006-03.dzn","SATISFIED","0.7573071494698524","0","0","sat_appear-cp2025","279","satisfy","-1034049967","0","0.01","0","0.249715","","","600","121","277","59","844","1219","0","1.41","0.0","","871","975","0.064","68","1","7337","58","3318","0.0","7618"
"cpsat_fixed_fixedorder_col2","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t016-01.dzn","ERROR","0.2071206383407116","","","sat_appear-cp2025","","","","","","","","no function or predicate with name `fzn_cumulative_opt' found","","","","","","","","","","","","","","","","","","","","",""
"chuffed_free_priority_col4","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t008-02.dzn","SATISFIED","0.7969316765666008","1","0","sat_appear-cp2025","343","satisfy","-1209569238","0","0.01","1","0.266589","","","583","126","337","61","935","1284","0","0.28","0.0","","876","1004","0.098","79","1","13256","59","4820","0.0","13601"
"chuffed_fixed_priorityrestart_col4","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t011-04.dzn","SATISFIED","1.5252974890172482","8","0","sat_appear-cp2025","1080","satisfy","760806447","0","0.023","8","0.60069","","","3800","544","1074","216","4567","7496","0","2.11","0.0","","4332","5178","0.344","360","1","16915","207","35515","0.0","17997"
"chuffed_fixed_fixedorder_col0","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t030-02.dzn","SATISFIED","10.810245625674725","10","0","sat_appear-cp2025","4023","satisfy","-455207673","0","0.156","10","4.01808","","","54482","2420","4001","1034","56285","106771","0","36.04","0.0","","38661","60718","3.919","1360","1","79766","1023","369940","0.0","83791"
"cpotimizer_free_fixedorder_col3","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t019-03.dzn","UNKNOWN","302.01748806238174","31386668","0","sat_appear-cp2025","","satisfy","","","298.51","","1.47168","","","16122","1134","2344","62860751","16812","12077","","","","","13200","18451","0.7","","0","","","","310.0","2356"
"cpsat_fixed_standard_col2","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t020-01.dzn","ERROR","0.21297864243388176","","","sat_appear-cp2025","","","","","","","","no function or predicate with name `fzn_cumulative_opt' found","","","","","","","","","","","","","","","","","","","","",""
"chuffed_free_priority_col1","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t010-01.dzn","SATISFIED","1.421238224953413","0","0","sat_appear-cp2025","1570","satisfy","1861543450","0","0.019","0","0.64979","","","2555","588","1563","161","4129","5930","0","0.63","0.0","","3577","3906","0.246","633","1","15587","160","17017","0.0","17159"
"cpotimizer_free_fixedorder_col0","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t019-04.dzn","SATISFIED","3.6113060489296913","14","0","sat_appear-cp2025","","satisfy","","","0.75","","1.21371","","","13704","1089","1871","71","14063","10057","","","","","11685","15973","0.57","","1","","","","207.0","1955"
"chuffed_fixed_fixedorder_col1","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t035-01.dzn","SATISFIED","18.595914140343666","51","0","sat_appear-cp2025","11773","satisfy","-1986083553","0","0.544","51","7.13838","","","81085","4900","11739","1326","91847","166549","0","16.02","0.0","","59705","90952","6.422","5275","1","151517","1274","849042","0.0","163292"
"cpotimizer_free_fixedorder_col4","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t017-01.dzn","SATISFIED","4.5692458264529705","380","0","sat_appear-cp2025","","satisfy","","","2.11","","1.00393","","","9796","882","1728","849","10308","7858","","","","","8839","11611","0.39","","1","","","","222.0","1742"
"gurobi_free_fixedorder_col3","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t012-01.dzn","SATISFIED","3.3243478089571","","0","sat_appear-cp2025","","satisfy","","","2.7591","","2.15772","","","2776","","7863","1","14567","","","","","1344","","1704","","5014","1","","","","",""
"chuffed_fixed_fixedorderrestart_col4","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t011-02.dzn","SATISFIED","1.4884698130190372","3","0","sat_appear-cp2025","1080","satisfy","1315677961","0","0.022","3","0.573967","","","3554","544","1074","215","4321","7004","0","2.11","0.0","","4209","4932","0.33","360","1","17945","211","23962","0.0","19027"
