"configuration","problem","model","data_file","status","time","flatIntVars","solver_objective","baseMem","eliminatedImplications","flatBoolConstraints","solveTime","trailMem","propagations","evaluatedHalfReifiedConstraints","randomSeed","variables","method","peakMem","nodes","restarts","nogoods","boolVariables","evaluatedReifiedConstraints","objectiveBound","propagators","backjumps","flatIntConstraints","flatTime","nSolutions","run","paths","initTime","peakDepth","eliminatedLinearConstraints","failures","flatBoolVars","openNodes","intVars"
"chuffed_fixed_priority_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t008-03.dzn","SATISFIED","1.2861725899856538","886","","0.0","484","4169","0.023","2.11","164118","275","1472908222","12505","satisfy","0.0","304","0","78","11610","3770","","7233","12","4307","0.570191","1","sat_reverse-cp2025","0","0.263","213","","78","5087","","893"
"chuffed_fixed_priorityrestart_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t001-05.dzn","SATISFIED","0.5536562029737979","190","","0.0","121","778","0.006","0.08","1382","68","-1897472672","59517","satisfy","0.0","50","0","0","59324","414","","704","0","486","0.221859","1","sat_reverse-cp2025","0","0.06","49","","0","719","","191"
"chuffed_free_priority_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t012-03.dzn","SATISFIED","2.142239950830117","1142","","0.0","605","5617","0.321","16.02","1427783","353","-935642348","163371","satisfy","0.0","1825","2","223","162218","5524","","10647","1260","6266","0.723971","1","sat_reverse-cp2025","0","0.492","412","","223","7210","","1151"
"gurobi_free_fixedorder_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t040-01.dzn","UNKNOWN","309.35337389004417","137914","","","","","261.043","","","126539","","","satisfy","","1","","","","12470","","","","219824","38.883","0","sat_reverse-cp2025","0","","","9150","","11672","",""
"chuffed_free_priority_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t025-01.dzn","SATISFIED","119.36800281703472","3181","","0.0","1815","25972","110.399","24.03","173382276","1035","-1780790319","1519668","satisfy","0.0","27732","29","6329","1516466","34814","","67960","19387","36542","2.6045","1","sat_reverse-cp2025","0","3.492","775","","6329","39640","","3200"
"chuffed_free_priority_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t030-01.dzn","UNKNOWN","304.7998734859284","4168","","","2420","40556","","","","1375","","","satisfy","","","","","","58272","","","","60427","4.20189","0","sat_reverse-cp2025","0","","","","","64643","",""
"cpsat_fixed_fixedorder_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t004-04.dzn","ALL_SOLUTIONS","0.7188860748428851","275","0","","242","605","0.079694","","6320","189","","","satisfy","","","","","76","189","0","","","597","0.231175","1","sat_reverse-cp2025","0","","","","0","560","",""
"chuffed_fixed_fixedorder_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t008-02.dzn","SATISFIED","0.7021964790765196","373","","0.0","121","935","0.01","0.19","23245","77","658198029","9159","satisfy","0.0","84","0","21","8781","728","","1616","0","1174","0.298886","1","sat_reverse-cp2025","0","0.095","62","","21","1186","","376"
"chuffed_fixed_priorityrestart_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t011-01.dzn","SATISFIED","1.3280175670515746","777","","0.0","363","3109","0.098","0.63","890886","217","1063511622","20785","satisfy","0.0","867","3","659","20000","2792","","5487","13","3424","0.481111","1","sat_reverse-cp2025","0","0.315","162","","659","3882","","783"
"cpotimizer_free_fixedorder_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t010-02.dzn","SATISFIED","0.9988598418422043","571","","","242","2052","0.12","","","","","704","satisfy","43.0","330","","","","1965","","2144","","2362","0.376829","1","sat_reverse-cp2025","0","0.08","","","154","2595","",""
"chuffed_free_priority_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t007-05.dzn","SATISFIED","0.6298134450335056","296","","0.0","121","871","0.015","0.94","64654","74","212553616","10016","satisfy","0.0","135","0","76","9717","600","","1238","1","882","0.26232","1","sat_reverse-cp2025","0","0.07","57","","76","993","","297"
"chuffed_fixed_priority_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t021-03.dzn","UNKNOWN","302.46973027614877","2417","","","1331","16989","","","","764","","","satisfy","","","","","","21416","","","","22863","1.77818","0","sat_reverse-cp2025","0","","","","","25033","",""
"chuffed_fixed_fixedorderrestart_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t022-01.dzn","SATISFIED","10.82366754906252","2609","","0.0","1452","20791","4.512","4.75","44023703","832","-1812271620","110086","satisfy","0.0","9629","8","8308","107459","27878","","54529","693","29399","2.13429","1","sat_reverse-cp2025","0","2.328","607","","8308","31800","","2625"
"chuffed_free_priority_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t020-01.dzn","SATISFIED","13.226649784948677","2194","","0.0","1210","14527","8.212","4.75","19807685","696","-269656868","686004","satisfy","0.0","15420","11","2067","683795","17634","","34273","12241","18940","1.57269","1","sat_reverse-cp2025","0","1.825","726","","2067","20922","","2207"
"cpsat_fixed_standard_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t014-05.dzn","ALL_SOLUTIONS","3.1192973949946463","1003","0","","968","2420","0.439774","","25679","756","","","satisfy","","","","","299","756","0","","","2066","0.523368","1","sat_reverse-cp2025","0","","","","1","2174","",""
"cpsat_free_fixedorder_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t018-02.dzn","ALL_SOLUTIONS","7.400352933909744","1798","0","","1936","4840","1.11946","","108925","1512","","","satisfy","","","","","135","1512","0","","","3661","0.778041","1","sat_reverse-cp2025","0","","","","30","4168","",""
"chuffed_fixed_standard_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t008-01.dzn","SATISFIED","0.5079683649819344","133","","0.0","","33","0.006","0.08","1163","9","-769188816","5562","satisfy","0.0","11","0","0","5423","66","","345","0","342","0.219234","1","sat_reverse-cp2025","0","0.028","10","","0","185","","137"
"cpotimizer_free_fixedorder_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t017-06.dzn","SATISFIED","4.581197063205764","1614","","","847","9339","1.6","","","","","1795","satisfy","265.0","3189","","","","11175","","8535","","11783","1.14621","1","sat_reverse-cp2025","0","0.66","","","1515","13066","",""
"chuffed_fixed_fixedorder_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t030-01.dzn","SATISFIED","18.707370680989698","4168","","0.0","2420","40556","5.529","10.68","47244639","1375","1276546462","140246","satisfy","0.0","10646","0","6214","136051","58272","","114207","3418","60427","4.01208","1","sat_reverse-cp2025","0","5.515","1013","","6214","64643","","4193"
"chuffed_fixed_fixedorderrestart_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t007-03.dzn","SATISFIED","0.6962772931437939","346","","0.0","121","959","0.008","0.42","6140","71","-1616811507","6121","satisfy","0.0","61","0","0","5771","776","","1680","0","1162","0.292699","1","sat_reverse-cp2025","0","0.087","60","","0","1204","","348"
"chuffed_fixed_priority_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t004-05.dzn","SATISFIED","0.8721623551100492","239","","0.0","121","812","0.009","0.42","2055","74","128898271","299256","satisfy","0.0","57","0","0","299011","482","","912","0","650","0.244813","1","sat_reverse-cp2025","0","0.273","56","","0","833","","243"
"cpsat_fixed_standard_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t015-01.dzn","ALL_SOLUTIONS","3.711243913974613","1198","0","","1210","3025","0.57056","","83398","945","","","satisfy","","","","","414","945","0","","","2455","0.581488","1","sat_reverse-cp2025","0","","","","109","2666","",""
"cpsat_fixed_fixedorder_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t022-01.dzn","ALL_SOLUTIONS","12.217443546047434","2593","0","","2904","7260","2.57106","","1720694","2268","","","satisfy","","","","","2546","2268","0","","","5264","1.00888","1","sat_reverse-cp2025","0","","","","8307","6174","",""
"chuffed_fixed_standardrestart_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t025-03.dzn","UNKNOWN","303.31459809304215","3185","","","1815","26867","","","","1035","","","satisfy","","","","","","36604","","","","38346","2.76566","0","sat_reverse-cp2025","0","","","","","41440","",""
"chuffed_fixed_fixedorderrestart_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t014-06.dzn","SATISFIED","2.11112447315827","1178","","0.0","605","5735","0.057","7.12","388455","353","-1910275094","16148","satisfy","0.0","526","1","158","14961","5760","","11167","86","6573","0.777442","1","sat_reverse-cp2025","0","0.621","263","","158","7472","","1185"
"cpotimizer_free_fixedorder_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t008-02.dzn","SATISFIED","0.6892542620189488","364","","","121","935","0.05","","","","","490","satisfy","22.0","81","","","","805","","1213","","1165","0.270089","1","sat_reverse-cp2025","0","0.04","","","33","1186","",""
"chuffed_fixed_standard_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t016-05.dzn","UNKNOWN","302.13273865613155","1798","","","968","10689","","","","553","","","satisfy","","","","","","12242","","","","13378","1.26206","0","sat_reverse-cp2025","0","","","","","14897","",""
"chuffed_fixed_fixedorderrestart_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t006-01.dzn","SATISFIED","0.7919138879515231","487","","0.0","242","1831","0.01","1.41","7091","139","-1231847689","4115","satisfy","0.0","109","0","0","3622","1378","","2681","0","1736","0.324373","1","sat_reverse-cp2025","0","0.131","108","","0","2071","","491"
"chuffed_fixed_standard_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t030-02.dzn","UNKNOWN","304.78088226309046","4154","","","2420","41228","","","","1376","","","satisfy","","","","","","59616","","","","61741","4.13464","0","sat_reverse-cp2025","0","","","","","65980","",""
"cpsat_free_fixedorder_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t005-02.dzn","ALL_SOLUTIONS","1.006277967011556","465","0","","484","1210","0.167213","","2368","378","","","satisfy","","","","","10","378","0","","","979","0.274162","1","sat_reverse-cp2025","0","","","","0","1048","",""
