"configuration","problem","model","data_file","status","time","evaluatedReifiedConstraints","paths","method","flatIntConstraints","solveTime","failures","randomSeed","nSolutions","flatBoolConstraints","restarts","propagators","propagations","initTime","evaluatedHalfReifiedConstraints","peakMem","trailMem","baseMem","eliminatedLinearConstraints","boolVariables","objective","backjumps","openNodes","error","solver_objective","intVars","nodes","variables","peakDepth","flatTime","optTime","flatBoolVars","run","objectiveBound","eliminatedImplications","nogoods","flatIntVars"
"chuffed_fixed_priorityrestart_col1","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t014-03.dzn","UNSATISFIABLE","1.8085317639634013","97","0","satisfy","","","","","","","","","","","","","","","","","","","","","","","","","","1.45267","","","endtimes_reverse-cp2025","","","",""
"chuffed_fixed_fixedorderrestart_col3","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t004-04.dzn","OPTIMAL_SOLUTION","1.1191852090414613","536","0","minimize","783","0.018","1","133278632","1","839","1","1094","3269","0.408","71","0.0","0.94","0.0","","444895","2199","0","","","2199","281","61","445178","60","0.273953","0.015","910","endtimes_reverse-cp2025","","121","1","277"
"gurobi_free_fixedorder_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t005-02.dzn","OPTIMAL_SOLUTION","1.2497235399205238","948","0","minimize","4371","0.8966","","","4","","","","","","1626","","","","610","","4062","","","","4062","","1","","","0.753939","","833","endtimes_reverse-cp2025","4062","","","2399"
"cpotimizer_free_fixedorder_col2","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t002-01.dzn","UNSATISFIABLE","2.127491571009159","586","0","minimize","697","1.59","2222","","0","848","","762","","0.01","","7.0","","","","","","","","","","","4476","279","","0.232481","","861","endtimes_reverse-cp2025","888","126","","258"
"chuffed_fixed_fixedorderrestart_col3","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t013-05.dzn","SATISFIED","301.3365269370843","6027","0","minimize","7312","299.077","346334","661867234","8","6121","25","12154","1114121543","0.579","514","0.0","7.12","0.0","","191878","20730","48279","","","20730","1565","396821","193445","259","0.913809","285.997","7897","endtimes_reverse-cp2025","","705","346334","1556"
"chuffed_fixed_standard_col1","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t013-03.dzn","UNSATISFIABLE","1.2014169900212437","45","0","satisfy","","","","","","","","","","","","","","","","","","","","","","","","","","0.908291","","","endtimes_reverse-cp2025","","","",""
"chuffed_fixed_priority_col3","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t003-03.dzn","OPTIMAL_SOLUTION","1.5265138300601393","1062","0","minimize","1297","0.027","1","-1842183980","1","1673","1","1947","5845","0.67","139","0.0","0.42","0.0","","677942","1475","0","","","1475","432","108","678376","107","0.327563","0.024","1709","endtimes_reverse-cp2025","","242","1","427"
"cpsat_fixed_standard_col2","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t016-03.dzn","UNSATISFIABLE","4.594298654003069","1224","0","minimize","3782","0.064138","0","","0","4170","","","0","","1524","","","","","0","","","","","0","","","","","0.895321","","3574","endtimes_reverse-cp2025","0","1722","","1970"
"cpsat_fixed_standard_col1","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t004-03.dzn","UNSATISFIABLE","0.7174560469575226","28","0","satisfy","","","","","","","","","","","","","","","","","","","","","","","","","","0.448233","","","endtimes_reverse-cp2025","","","",""
"chuffed_fixed_priorityrestart_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t015-03.dzn","SATISFIED","301.3723437190056","6070","0","minimize","6940","299.171","634403","-1516579713","1","5890","19","11808","1937418004","0.649","356","0.0","1.41","0.0","","70695","29560","211933","","","29560","1211","846056","71908","268","0.821119","0.942","7809","endtimes_reverse-cp2025","","605","634403","1204"
"chuffed_free_priority_col4","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t009-02.dzn","UNSATISFIABLE","1.3945451600011438","2938","0","minimize","3642","0.136","507","1779019778","0","3293","3","5880","896178","0.265","277","0.0","0.42","0.0","","50832","","218","","","-1","873","707","51707","19","0.546073","0.0","4030","endtimes_reverse-cp2025","","408","507","868"
"cpsat_free_fixedorder_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t001-01.dzn","OPTIMAL_SOLUTION","0.5024474218953401","","0","minimize","44","0.02447","0","","1","","","","0","","","","","","","0","350","","","","350","","","","","0.170129","","14","endtimes_reverse-cp2025","350","","","17"
"chuffed_fixed_priorityrestart_col1","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t002-06.dzn","OPTIMAL_SOLUTION","1.8790114419534802","1136","0","minimize","1957","0.067","16","1880206019","1","2101","1","2583","25619","0.844","422","0.0","3.16","0.0","","930947","1006","1","","","1006","917","118","931866","101","0.420354","0.036","1902","endtimes_reverse-cp2025","","392","16","916"
"cpotimizer_free_fixedorder_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t014-01.dzn","SATISFIED","301.1878383930307","6250","0","minimize","6726","299.24","125385","","37","5804","","5291","","0.32","","144.0","","","","","30103","","","","30103","","255496","1319","","0.757182","","7617","endtimes_reverse-cp2025","28957","605","","1177"
"gurobi_free_fixedorder_col1","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t006-05.dzn","UNSATISFIABLE","1.5234467030968517","1396","0","satisfy","","","","","","","","","","","2215","","","","","","","","","","","","","","","1.1726","","","endtimes_reverse-cp2025","","","",""
"cpsat_fixed_fixedorder_col4","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t016-04.dzn","UNSATISFIABLE","4.177856659051031","1176","0","minimize","3239","0.056967","0","","0","3858","","","0","","1296","","","","","0","","","","","0","","","","","0.714281","","3320","endtimes_reverse-cp2025","0","1572","","1621"
"chuffed_fixed_priorityrestart_col1","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t005-03.dzn","UNSATISFIABLE","35.75264236214571","569","0","minimize","1211","34.817","330841","-1025362465","0","1051","17","1521","62959247","0.152","218","0.0","2.11","0.0","","151172","","2426","","","-1","597","333281","151771","9","0.426671","0.0","1101","endtimes_reverse-cp2025","","196","330841","585"
"gurobi_free_fixedorder_col2","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t018-01.dzn","UNSATISFIABLE","8.529669404029846","6374","0","minimize","40630","0.1791","","","0","","","","","","16689","","","","2982","","","","","","","","0","","","6.73253","","3551","endtimes_reverse-cp2025","1e+100","","","23001"
"chuffed_fixed_standard_col3","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t011-01.dzn","SATISFIED","300.9168172068894","2831","0","minimize","3755","299.339","223419","-344409702","4","3280","4","5837","526435912","0.338","316","0.0","1.41","0.0","","146757","22831","206818","","","22831","1022","430885","147781","160","0.652521","287.997","4041","endtimes_reverse-cp2025","","423","223419","1015"
"chuffed_free_priority_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t015-03.dzn","SATISFIED","301.6997369171586","6070","0","minimize","6940","","","","821","5890","","","","","356","","","","","","46735","","","","","","","","","0.829236","","7809","endtimes_reverse-cp2025","","605","","1204"
"gurobi_free_fixedorder_col1","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t019-04.dzn","UNSATISFIABLE","10.911324383923784","10406","0","satisfy","","","","","","","","","","","20468","","","","","","","","","","","","","","","9.55518","","","endtimes_reverse-cp2025","","","",""
"cpsat_free_fixedorder_col1","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t015-05.dzn","UNSATISFIABLE","1.3026523729786277","71","0","satisfy","","","","","","","","","","","","","","","","","","","","","","","","","","0.994095","","","endtimes_reverse-cp2025","","","",""
"cpsat_fixed_standard_col2","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t014-06.dzn","UNSATISFIABLE","3.6349874241277575","1020","0","minimize","3135","0.053677","0","","0","3475","","","0","","1270","","","","","0","","","","","0","","","","","0.750692","","2969","endtimes_reverse-cp2025","0","1435","","1633"
"chuffed_fixed_priority_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t006-02.dzn","OPTIMAL_SOLUTION","1.227877147961408","1330","0","minimize","1710","0.384","2537","988424558","1","1807","1","2572","2822053","0.118","148","0.0","1.41","0.0","","17094","4956","1045","","","4956","503","3689","17599","109","0.376709","0.031","2046","endtimes_reverse-cp2025","","242","2537","497"
"cpotimizer_free_fixedorder_col4","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t003-06.dzn","UNSATISFIABLE","5.718068256042898","651","0","minimize","808","5.14","8310","","0","879","","862","","0.02","","10.0","","","","","","","","","","","16813","322","","0.2543","","948","endtimes_reverse-cp2025","1051","126","","280"
"chuffed_fixed_fixedorder_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t035-03.dzn","SATISFIED","304.3655575150624","87390","0","minimize","90007","","","","2","57970","","","","","1716","","","","","","174408","","","","","","","","","6.11654","","95325","endtimes_reverse-cp2025","","3025","","5168"
"cpsat_free_fixedorder_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t030-02.dzn","SATISFIED","303.17174732498825","3780","0","minimize","8341","168.011","0","","28","12100","","","0","","3780","","","","","0","148105","","","","148105","","","","","1.54676","","10128","endtimes_reverse-cp2025","145127","4840","","4131"
"cpotimizer_free_fixedorder_col1","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t008-06.dzn","UNSATISFIABLE","0.8706873618066311","","0","satisfy","","","","","","","","","","","","","","","","","","","","","","","","","","0.591761","","","endtimes_reverse-cp2025","","","",""
"cpotimizer_free_fixedorder_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t014-05.dzn","OPTIMAL_SOLUTION","25.43610398680903","4642","0","minimize","5134","23.83","20323","","2","4461","","4218","","0.23","","107.0","","","","","23766","","","","23766","","40138","1158","","0.652217","","5788","endtimes_reverse-cp2025","23764","484","","996"
"cpotimizer_free_fixedorder_col4","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t009-05.dzn","UNKNOWN","300.6671007759869","4516","0","minimize","4930","299.41","778","","0","4507","","4115","","0.17","","62.0","","","","","","","","","","","1623","1096","","0.597547","","5598","endtimes_reverse-cp2025","6731","504","","1047"
"cpsat_free_fixedorder_col3","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t010-03.dzn","OPTIMAL_SOLUTION","2.0682612569071352","394","0","minimize","1392","0.479541","62","","5","1314","","","26330","","454","","","","","97","11135","","","","11135","","","","","0.444396","","1250","endtimes_reverse-cp2025","11135","534","","704"
"chuffed_fixed_fixedorderrestart_col1","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t001-06.dzn","OPTIMAL_SOLUTION","0.44568649609573185","","0","minimize","47","0.001","0","-1832831042","1","","1","49","60","0.011","","0.0","0.02","0.0","","9572","279","0","","","279","26","1","9600","1","0.184827","0.001","30","endtimes_reverse-cp2025","","","0","24"
"cpsat_fixed_fixedorder_col4","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t009-01.dzn","UNSATISFIABLE","1.4584055438172072","588","0","minimize","1670","0.035861","0","","0","1929","","","0","","648","","","","","0","","","","","0","","","","","0.461619","","1677","endtimes_reverse-cp2025","0","786","","824"
"gurobi_free_fixedorder_col1","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t001-06.dzn","OPTIMAL_SOLUTION","0.48548948112875223","46","0","minimize","151","0.2112","","","1","","","","","","138","","","","","","279","","","","279","","0","","","0.209156","","21","endtimes_reverse-cp2025","279","","","110"
"chuffed_fixed_priority_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t002-04.dzn","OPTIMAL_SOLUTION","0.4545487370342016","","0","minimize","68","0.004","0","-559672473","1","","1","58","144","0.027","","0.0","0.05","0.0","","29686","684","0","","","684","38","2","29726","2","0.182056","0.004","28","endtimes_reverse-cp2025","","","0","33"
"chuffed_fixed_priorityrestart_col4","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t010-05.dzn","UNKNOWN","300.8961542882025","4394","0","minimize","5263","299.289","1266744","565565045","0","4629","20","8751","710244176","0.343","363","0.0","2.11","0.0","","97579","","2956","","","-1","1129","1269789","98710","10","0.701807","0.0","5809","endtimes_reverse-cp2025","","544","1266744","1122"
"cpsat_free_fixedorder_col4","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t017-03.dzn","ERROR","4.249660614877939","1372","0","minimize","3748","","","","0","4501","","","","","1512","","","","","","","","","terminate called after throwing an instance of 'std::out_of_range'
  what():  absl::container_internal::raw_hash_map<>::at","","","","","","0.805452","","3859","endtimes_reverse-cp2025","","1834","","1875"
"chuffed_fixed_priorityrestart_col2","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t015-01.dzn","OPTIMAL_SOLUTION","3.0805980579461902","6495","0","minimize","8131","0.59","193","542559727","2","6540","3","13333","1866544","0.66","630","0.0","2.11","0.0","","134843","22309","114","","","22309","1834","848","136679","269","1.06179","0.078","8491","endtimes_reverse-cp2025","","780","193","1824"
"cpsat_free_fixedorder_col3","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t018-01.dzn","SATISFIED","300.99993823701516","1576","0","minimize","4349","11.3912","5901","","83","5256","","","7533715","","1816","","","","","1905","42543","","","","42543","","","","","0.945063","","4476","endtimes_reverse-cp2025","41915","2136","","2242"
"chuffed_fixed_standardrestart_col2","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t015-04.dzn","UNKNOWN","301.7555087469518","6265","0","minimize","7901","298.914","87189","-1006221774","0","6425","14","12871","669408300","0.772","631","0.0","16.02","0.0","","505595","","220495","","","-1","1830","304701","507427","13","1.08728","0.0","8262","endtimes_reverse-cp2025","","780","87189","1821"
"chuffed_fixed_fixedorderrestart_col1","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t009-05.dzn","UNSATISFIABLE","1.1331287119537592","58","0","satisfy","","","","","","","","","","","","","","","","","","","","","","","","","","0.83563","","","endtimes_reverse-cp2025","","","",""
"chuffed_fixed_priority_col2","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t007-02.dzn","UNKNOWN","300.73174192616716","2965","0","minimize","3855","299.389","1196650","-244997940","0","3458","0","6106","496533823","0.248","376","0.0","2.11","0.0","","104796","","1401","","","-1","1055","1197689","105853","5","0.601921","0.0","4113","endtimes_reverse-cp2025","","468","1196650","1045"
"chuffed_free_priority_col4","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t009-05.dzn","UNSATISFIABLE","32.40567143401131","4150","0","minimize","4988","30.94","8501","191934571","0","4507","31","8220","188544632","0.268","366","0.0","3.16","0.0","","238740","","15318","","","-1","1115","24112","239857","203","0.668106","0.0","5558","endtimes_reverse-cp2025","","544","8501","1105"
"cpotimizer_free_fixedorder_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t007-03.dzn","OPTIMAL_SOLUTION","3.3519636399578303","847","0","minimize","1155","2.69","20360","","3","959","","1161","","0.04","","23.0","","","","","7509","","","","7509","","40377","442","","0.279137","","1204","endtimes_reverse-cp2025","7509","121","","339"
"chuffed_fixed_fixedorder_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t009-02.dzn","OPTIMAL_SOLUTION","1.2325187548995018","2834","0","minimize","3353","0.033","68","144104161","1","3130","1","5515","165115","0.258","211","0.0","0.28","0.0","","15252","9646","256","","","9646","728","452","15982","158","0.515607","0.017","3872","endtimes_reverse-cp2025","","363","68","723"
"cpsat_fixed_standard_col2","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t004-04.dzn","UNSATISFIABLE","0.7194781380239874","195","0","minimize","646","0.022356","0","","0","629","","","0","","205","","","","","0","","","","","0","","","","","0.263283","","582","endtimes_reverse-cp2025","0","257","","302"
"cpotimizer_free_fixedorder_col4","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t016-04.dzn","UNKNOWN","301.4294044279959","8816","0","minimize","9515","299.02","850","","0","7778","","7312","","0.5","","210.0","","","","","","","","","","","1836","1723","","0.986669","","10480","endtimes_reverse-cp2025","45616","756","","1612"
"chuffed_fixed_fixedorder_col4","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t016-04.dzn","UNKNOWN","301.8595457870979","8260","0","minimize","9606","298.938","254259","1350837956","0","7778","0","16387","1009023150","0.854","556","0.0","16.02","0.0","","499394","","2853","","","-1","1712","255466","501108","6","1.05576","0.0","10420","endtimes_reverse-cp2025","","816","254259","1703"
"chuffed_fixed_fixedorder_col4","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t011-04.dzn","UNKNOWN","301.0920389601961","4426","0","minimize","5380","299.28","679257","-1080163494","0","4645","0","8866","1169054465","0.433","367","0.0","10.68","0.0","","298431","","8644","","","-1","1168","683898","299601","4","0.710774","0.0","5883","endtimes_reverse-cp2025","","544","679257","1162"
"gurobi_free_fixedorder_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t016-04.dzn","OPTIMAL_SOLUTION","107.83909015217796","3092","0","minimize","19928","107.0504","","","22","","","","","","9437","","","","1830","","48516","","404","","48516","","7699","","","3.24475","","2555","endtimes_reverse-cp2025","48516","","","11737"
"cpsat_fixed_standard_col4","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t005-05.dzn","UNSATISFIABLE","0.9404564020223916","385","0","minimize","1062","0.028208","0","","0","1248","","","0","","405","","","","","0","","","","","0","","","","","0.305101","","1083","endtimes_reverse-cp2025","0","504","","510"
"chuffed_fixed_standard_col4","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t005-04.dzn","OPTIMAL_SOLUTION","0.6436832621693611","24","0","minimize","206","0.007","1","965392139","1","12","1","202","901","0.138","3","0.0","0.63","0.0","","111252","3994","0","","","3994","150","10","111404","9","0.216338","0.006","103","endtimes_reverse-cp2025","","","1","89"
"gurobi_free_fixedorder_col1","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t004-02.dzn","OPTIMAL_SOLUTION","0.7607369518373162","196","0","minimize","760","0.4625","","","2","","","","","","640","","","","","","2598","","","","2598","","0","","","0.444044","","87","endtimes_reverse-cp2025","2598","","","543"
"chuffed_fixed_standard_col3","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t013-02.dzn","OPTIMAL_SOLUTION","29.135686312802136","5871","0","minimize","7156","26.799","10176","774700494","1","6043","1","11842","100126823","0.687","514","0.0","1.41","0.0","","110005","19454","12646","","","19454","1565","23076","111572","255","0.895908","0.059","7741","endtimes_reverse-cp2025","","705","10176","1556"
"gurobi_free_fixedorder_col4","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t009-03.dzn","UNSATISFIABLE","1.504103991901502","1260","0","minimize","5614","0.0145","","","0","","","","","","2457","","","","658","","","","","","","","0","","","1.07013","","976","endtimes_reverse-cp2025","1e+100","","","3255"
"chuffed_fixed_standard_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t040-02.dzn","UNKNOWN","307.9827160020359","124100","0","minimize","127190","","","","0","79180","","","","","2055","","","","","","","","","","","","","","","7.58427","","133593","endtimes_reverse-cp2025","","3630","","6175"
"chuffed_fixed_priorityrestart_col4","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t001-04.dzn","OPTIMAL_SOLUTION","0.5848915409296751","414","0","minimize","486","0.007","0","357779989","1","778","1","704","1370","0.08","68","0.0","0.28","0.0","","84719","205","0","","","205","192","50","84913","50","0.223272","0.007","719","endtimes_reverse-cp2025","","121","0","190"
"chuffed_free_priority_col1","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t004-05.dzn","OPTIMAL_SOLUTION","1.3494302311446518","521","0","minimize","1058","0.02","0","-893764392","1","1027","1","1318","3429","0.511","217","0.0","0.42","0.0","","578548","1635","0","","","1635","534","57","579084","57","0.358044","0.018","996","endtimes_reverse-cp2025","","196","0","527"
"chuffed_fixed_standardrestart_col3","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t003-01.dzn","OPTIMAL_SOLUTION","0.5483412849716842","4","0","minimize","112","0.006","0","-1500056279","1","2","1","102","324","0.065","","0.0","0.08","0.0","","72889","1493","0","","","1493","55","4","72946","4","0.198078","0.005","44","endtimes_reverse-cp2025","","","0","53"
"chuffed_fixed_standard_col2","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t015-04.dzn","UNKNOWN","301.76963014295325","6265","0","minimize","7901","298.906","92684","-13333369","0","6425","0","12871","344774132","0.782","631","0.0","16.02","0.0","","503080","","237372","","","-1","1830","327021","504912","13","1.08748","0.0","8262","endtimes_reverse-cp2025","","780","92684","1821"
"gurobi_free_fixedorder_col4","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t014-02.dzn","UNSATISFIABLE","3.5936245899647474","2703","0","minimize","16698","0.0542","","","0","","","","","","7696","","","","1645","","","","","","","","0","","","2.81379","","2211","endtimes_reverse-cp2025","1e+100","","","9730"
"cpsat_fixed_standard_col4","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t018-06.dzn","UNSATISFIABLE","5.87034254707396","1568","0","minimize","4146","0.070571","0","","0","5144","","","0","","1728","","","","","0","","","","","0","","","","","0.872639","","4360","endtimes_reverse-cp2025","0","2096","","2081"
"cpsat_free_fixedorder_col4","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t003-03.dzn","OPTIMAL_SOLUTION","1.1514629102312028","391","0","minimize","994","0.316139","0","","3","1272","","","5440","","421","","","","","36","1475","","","","1475","","","","","0.30513","","1059","endtimes_reverse-cp2025","1475","519","","481"
"chuffed_fixed_priority_col2","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t004-02.dzn","OPTIMAL_SOLUTION","0.5512299640104175","40","0","minimize","194","0.005","2","-730546989","1","20","1","217","1133","0.035","3","0.0","0.12","0.0","","31507","2598","3","","","2598","84","9","31593","5","0.235194","0.005","117","endtimes_reverse-cp2025","","","2","77"
"chuffed_fixed_priority_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t018-02.dzn","UNKNOWN","302.19569761585444","13758","0","minimize","14912","","","","0","11447","","","","","559","","","","","","","","","","","","","","","1.28019","","16429","endtimes_reverse-cp2025","","968","","1811"
"chuffed_fixed_fixedorderrestart_col1","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t018-01.dzn","UNSATISFIABLE","2.147903692908585","116","0","satisfy","","","","","","","","","","","","","","","","","","","","","","","","","","1.74523","","","endtimes_reverse-cp2025","","","",""
"chuffed_fixed_standard_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t025-02.dzn","SATISFIED","303.586158165941","35118","0","minimize","36861","","","","2","26124","","","","","1035","","","","","","80938","","","","","","","","","2.65938","","39954","endtimes_reverse-cp2025","","1815","","3186"
"cpsat_free_fixedorder_col4","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t017-02.dzn","ERROR","3.2652351330034435","560","0","minimize","3440","","","","0","4494","","","","","2324","","","","","","","","","terminate called after throwing an instance of 'std::out_of_range'
  what():  absl::container_internal::raw_hash_map<>::at","","","","","","0.774606","","3750","endtimes_reverse-cp2025","","1834","","1808"
"cpsat_fixed_fixedorder_col1","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t011-06.dzn","UNSATISFIABLE","0.8453705050051212","18","0","satisfy","","","","","","","","","","","","","","","","","","","","","","","","","","0.581772","","","endtimes_reverse-cp2025","","","",""
"chuffed_fixed_priorityrestart_col2","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t013-05.dzn","UNKNOWN","301.4103415380232","6209","0","minimize","7799","299.003","163195","-1243351688","0","6397","15","12775","395103933","0.599","624","0.0","10.68","0.0","","376941","","60","","","-1","1805","163382","378748","10","0.98847","0.0","8167","endtimes_reverse-cp2025","","780","163195","1796"
"chuffed_free_priority_col3","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t006-05.dzn","OPTIMAL_SOLUTION","0.890239201951772","763","0","minimize","1230","0.135","274","48213878","1","1003","3","1737","471862","0.088","108","0.0","0.94","0.0","","54129","5993","342","","","5993","426","685","54557","60","0.340431","0.021","1243","endtimes_reverse-cp2025","","141","274","419"
"chuffed_fixed_fixedorderrestart_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t018-02.dzn","SATISFIED","302.2145981199574","13758","0","minimize","14912","","","","3","11447","","","","","559","","","","","","66470","","","","","","","","","1.37743","","16429","endtimes_reverse-cp2025","","968","","1811"
"chuffed_free_priority_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t040-03.dzn","UNKNOWN","308.1051687488798","120340","0","minimize","123395","","","","0","77300","","","","","2056","","","","","","","","","","","","","","","7.84702","","129824","endtimes_reverse-cp2025","","3630","","6159"
