"configuration","problem","model","data_file","status","time","evaluatedReifiedConstraints","paths","method","flatIntConstraints","solveTime","failures","randomSeed","nSolutions","flatBoolConstraints","restarts","propagators","propagations","initTime","evaluatedHalfReifiedConstraints","peakMem","trailMem","baseMem","eliminatedLinearConstraints","boolVariables","objective","backjumps","openNodes","error","solver_objective","intVars","nodes","variables","peakDepth","flatTime","optTime","flatBoolVars","run","objectiveBound","eliminatedImplications","nogoods","flatIntVars"
"chuffed_fixed_priority_col1","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t016-01.dzn","UNSATISFIABLE","1.7994780549779534","84","0","satisfy","","","","","","","","","","","","","","","","","","","","","","","","","","1.42996","","","endtimes_reverse-cp2025","","","",""
"cpsat_free_fixedorder_col4","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t010-02.dzn","ERROR","1.462108964798972","391","0","minimize","1336","","","","0","1272","","","","","421","","","","","","","","","terminate called after throwing an instance of 'std::out_of_range'
  what():  absl::container_internal::raw_hash_map<>::at","","","","","","0.395744","","1199","endtimes_reverse-cp2025","","519","","647"
"chuffed_fixed_priority_col4","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t013-01.dzn","UNKNOWN","301.54928879695944","5970","0","minimize","7075","299.127","232603","-822551030","0","6025","0","11823","598060030","0.659","465","0.0","16.02","0.0","","453617","","701","","","-1","1418","233109","455037","6","0.864145","0.0","7768","endtimes_reverse-cp2025","","680","232603","1409"
"cpotimizer_free_fixedorder_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t004-01.dzn","OPTIMAL_SOLUTION","0.6088390490040183","626","0","minimize","762","0.03","6","","1","848","","808","","0.02","","11.0","","","","","2037","","","","2037","","9","302","","0.244103","","919","endtimes_reverse-cp2025","2037","121","","257"
"cpsat_free_fixedorder_col2","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t006-06.dzn","ERROR","0.8405709778890014","204","0","minimize","790","","","","0","695","","","","","254","","","","","","","","","terminate called after throwing an instance of 'std::out_of_range'
  what():  absl::container_internal::raw_hash_map<>::at","","","","","","0.312388","","671","endtimes_reverse-cp2025","","287","","395"
"chuffed_fixed_standardrestart_col4","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t018-03.dzn","UNKNOWN","302.3257560930215","15430","0","minimize","17159","","","","0","13187","","","","","822","","","","","","","","","","","","","","","1.56047","","18533","endtimes_reverse-cp2025","","1224","","2411"
"chuffed_free_priority_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t021-03.dzn","SATISFIED","302.48603577911854","21416","0","minimize","22864","","","","4","16989","","","","","764","","","","","","65468","","","","","","","","","1.82748","","25033","endtimes_reverse-cp2025","","1331","","2418"
"chuffed_fixed_fixedorder_col1","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t017-03.dzn","UNSATISFIABLE","1.953534236876294","103","0","satisfy","","","","","","","","","","","","","","","","","","","","","","","","","","1.57238","","","endtimes_reverse-cp2025","","","",""
"cpotimizer_free_fixedorder_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t003-06.dzn","OPTIMAL_SOLUTION","0.6867511111777276","621","0","minimize","756","0.13","575","","3","846","","799","","0.03","","9.0","","","","","1080","","","","1080","","1195","296","","0.238298","","910","endtimes_reverse-cp2025","1080","121","","255"
"gurobi_free_fixedorder_col3","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t007-04.dzn","OPTIMAL_SOLUTION","2.2990571388509125","1875","0","minimize","9249","1.9056","","","1","","","","","","3316","","","","1044","","8353","","","","8353","","1","","","1.43417","","1289","endtimes_reverse-cp2025","8353","","","5029"
