"configuration","problem","model","data_file","status","time","method","solver_objective","boolVariables","flatBoolConstraints","optTime","variables","evaluatedReifiedConstraints","run","initTime","trailMem","paths","restarts","peakMem","objective","intVars","flatBoolVars","eliminatedLinearConstraints","nodes","flatIntConstraints","nSolutions","evaluatedHalfReifiedConstraints","peakDepth","solveTime","backjumps","openNodes","nogoods","propagators","objectiveBound","baseMem","eliminatedImplications","flatTime","flatIntVars","propagations","failures","randomSeed"
"chuffed_fixed_fixedorderrestart_col0","reverse-cp2025","../models/solve_makespan.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t001-06.dzn","OPTIMAL_SOLUTION","0.44298566482029855","minimize","279","8819","","0.004","8840","","makespan_reverse-cp2025_big","0.01","0.04","0","1","0.0","279","19","14","","1","36","1","","1","0.004","0","","0","31","","0.0","","0.183284","17","52","0","2021453531"
"chuffed_fixed_priorityrestart_col0","reverse-cp2025","../models/solve_makespan.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t017-05.dzn","SATISFIED","302.9624574619811","minimize","","","15993","","","23992","makespan_reverse-cp2025_big","","","0","","","4404","","27000","","","26829","1","495","","","","","","","","","847","2.18664","2435","","",""
"chuffed_fixed_standard_col0","reverse-cp2025","../models/solve_makespan.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t045-03.dzn","UNKNOWN","309.93961651902646","minimize","","","97549","","","155128","makespan_reverse-cp2025_big","","","0","","","","","166065","","","158351","0","2396","","","","","","","","","4235","10.0337","7025","","",""
"chuffed_free_priority_col0","reverse-cp2025","../models/solve_makespan.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t012-06.dzn","UNKNOWN","302.2831574419979","minimize","","","8279","","","11990","makespan_reverse-cp2025_big","","","0","","","","","13944","","","14204","0","292","","","","","","","","","484","1.3208","1668","","",""
"chuffed_fixed_standard_col0","reverse-cp2025","../models/solve_makespan.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t003-01.dzn","OPTIMAL_SOLUTION","0.55480722989887","minimize","612","72884","2","0.006","72940","4","makespan_reverse-cp2025_big","0.065","0.08","0","1","0.0","612","54","44","","4","111","1","","4","0.006","0","","0","100","","0.0","","0.19776","52","315","0","-1615814845"
"chuffed_fixed_priority_col0","reverse-cp2025","../models/solve_makespan.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t015-04.dzn","UNKNOWN","302.6331396258902","minimize","","","11858","","","18006","makespan_reverse-cp2025_big","","","0","","","","","20451","","","20814","0","360","","","","","","","","","605","1.70729","2105","","",""
"chuffed_fixed_fixedorderrestart_col0","reverse-cp2025","../models/solve_makespan.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t014-05.dzn","SATISFIED","302.40049699507654","minimize","","","8780","","","12992","makespan_reverse-cp2025_big","","","0","","","4028","","15013","","","15398","3","289","","","","","","","","","484","1.36432","1762","","",""
"cpotimizer_free_fixedorder_col0","reverse-cp2025","../models/solve_makespan.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t020-03.dzn","SATISFIED","303.6422375130933","minimize","6656","","22852","","3540","34981","makespan_reverse-cp2025_big","1.96","","0","","774.0","6656","","38141","","116963","37133","17","","","149.57","","","","23439","4306","","1210","2.7689","2889","","52394",""
"chuffed_fixed_fixedorder_col0","reverse-cp2025","../models/solve_makespan.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t013-06.dzn","SATISFIED","302.2533694950398","minimize","","","8582","","","12596","makespan_reverse-cp2025_big","","","0","","","3578","","14588","","","14942","4","288","","","","","","","","","484","1.34576","1732","","",""
"chuffed_fixed_standardrestart_col0","reverse-cp2025","../models/solve_makespan.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t014-04.dzn","SATISFIED","302.68089196900837","minimize","","","14798","","","22744","makespan_reverse-cp2025_big","","","0","","","2990","","25498","","","25691","3","420","","","","","","","","","726","1.94912","2326","","",""
"chuffed_free_priority_col0","reverse-cp2025","../models/solve_makespan.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t011-03.dzn","OPTIMAL_SOLUTION","222.37650228617713","minimize","2619","2630371","5764","218.088","2631744","8102","makespan_reverse-cp2025_big","1.074","16.02","0","163","0.0","2619","1371","9638","","75663","9956","129","217","302","218.603","31456","","9855","17111","","0.0","363","0.98292","1345","175854471","9855","-29524073"
