configuration,problem,model,data_file,status,time,trailMem,nogoods,eliminatedLinearConstraints,flatBoolConstraints,backjumps,flatBoolVars,flatIntVars,objectiveBound,initTime,propagations,flatIntConstraints,method,peakDepth,failures,run,baseMem,boolVariables,eliminatedImplications,nSolutions,flatTime,openNodes,paths,intVars,peakMem,evaluatedHalfReifiedConstraints,randomSeed,solver_objective,solveTime,propagators,restarts,evaluatedReifiedConstraints,variables,nodes
chuffed_fixed_fixedorder_col0,rnd_large,../models/solve_sat.mzn:../models/pddl-print.mzn,cp2025/t015-01.dzn,SATISFIED,2.2731848940020427,0.94,148.0,,5570.0,237.0,7106,1126,,0.554,336181.0,6133,satisfy,261.0,148.0,results_sat_all,0.0,13818.0,605.0,1,0.843256,,0,1130.0,0.0,355.0,-1092258807.0,,0.058,10392.0,0.0,5430.0,14950.0,647.0
chuffed_fixed_fixedorder_col0,rnd_large,../models/solve_sat.mzn:../models/pddl-print.mzn,cp2025/t015-02.dzn,SATISFIED,2.306293250061572,3.16,201.0,,5443.0,94.0,6852,1126,,0.64,456737.0,5879,satisfy,251.0,201.0,results_sat_all,0.0,14123.0,605.0,1,0.783249,,0,1130.0,0.0,355.0,1625074969.0,,0.073,9884.0,0.0,5176.0,15255.0,547.0
chuffed_fixed_fixedorder_col0,rnd_large,../models/solve_sat.mzn:../models/pddl-print.mzn,cp2025/t015-03.dzn,SATISFIED,3.156507108011283,0.94,6052.0,,5577.0,611.0,7120,1126,,0.605,11818896.0,6147,satisfy,260.0,6052.0,results_sat_all,0.0,29435.0,605.0,1,0.802728,,0,1130.0,0.0,355.0,5604730.0,,0.938,10420.0,0.0,5444.0,30567.0,6924.0
chuffed_fixed_fixedorder_col0,rnd_large,../models/solve_sat.mzn:../models/pddl-print.mzn,cp2025/t016-01.dzn,SATISFIED,3.529838540009223,10.68,2929.0,,6904.0,718.0,8937,1318,,0.812,7176415.0,7733,satisfy,312.0,2929.0,results_sat_all,0.0,23970.0,726.0,1,0.96294,,0,1323.0,0.0,423.0,749463443.0,,0.795,13301.0,0.0,6956.0,25295.0,3960.0
chuffed_fixed_fixedorder_col0,rnd_large,../models/solve_sat.mzn:../models/pddl-print.mzn,cp2025/t016-02.dzn,SATISFIED,2.811882306006737,16.02,505.0,,7021.0,720.0,9171,1318,,0.763,1846781.0,7967,satisfy,310.0,505.0,results_sat_all,0.0,18728.0,726.0,1,0.923517,,0,1323.0,0.0,423.0,-1597803306.0,,0.229,13769.0,0.0,7190.0,20053.0,1536.0
chuffed_fixed_fixedorder_col0,rnd_large,../models/solve_sat.mzn:../models/pddl-print.mzn,cp2025/t016-03.dzn,SATISFIED,2.664792177034542,10.68,6.0,,6865.0,0.0,8859,1318,,0.722,47049.0,7655,satisfy,315.0,6.0,results_sat_all,0.0,13135.0,726.0,1,0.976086,,0,1323.0,0.0,423.0,789505725.0,,0.05,13145.0,0.0,6878.0,14460.0,322.0
chuffed_fixed_fixedorder_col0,rnd_large,../models/solve_sat.mzn:../models/pddl-print.mzn,cp2025/t017-01.dzn,SATISFIED,3.785091572906822,0.63,3855.0,,8473.0,1058.0,11238,1510,,0.827,11294268.0,9803,satisfy,354.0,3855.0,results_sat_all,0.0,37524.0,847.0,1,1.09905,,0,1516.0,0.0,491.0,-722499136.0,,0.891,17150.0,0.0,8952.0,39042.0,5268.0
chuffed_fixed_fixedorder_col0,rnd_large,../models/solve_sat.mzn:../models/pddl-print.mzn,cp2025/t017-02.dzn,SATISFIED,2.6444140430539846,0.42,449.0,,8638.0,294.0,11430,1495,,0.533,1234368.0,9917,satisfy,350.0,449.0,results_sat_all,0.0,21753.0,847.0,1,1.13736,,0,1501.0,0.0,1288.0,296378301.0,,0.13,17780.0,0.0,8405.0,23256.0,1094.0
chuffed_fixed_fixedorder_col0,rnd_large,../models/solve_sat.mzn:../models/pddl-print.mzn,cp2025/t017-03.dzn,SATISFIED,3.030779320979491,3.16,1029.0,,8360.0,475.0,11012,1510,,0.718,2799104.0,9577,satisfy,356.0,1029.0,results_sat_all,0.0,35657.0,847.0,1,1.09277,,0,1516.0,0.0,491.0,393061138.0,,0.305,16698.0,0.0,8726.0,37175.0,1861.0
chuffed_fixed_fixedorder_col0,rnd_large,../models/solve_sat.mzn:../models/pddl-print.mzn,cp2025/t018-01.dzn,SATISFIED,3.5533161879284307,7.12,489.0,,10194.0,404.0,13843,1702,,1.024,1797596.0,12177,satisfy,404.0,489.0,results_sat_all,0.0,31241.0,968.0,1,1.22809,,0,1709.0,0.0,559.0,-1697476258.0,,0.216,21607.0,0.0,11252.0,32952.0,1298.0
