"configuration","problem","model","data_file","status","time","objectiveBound","solver_objective","eliminatedImplications","randomSeed","flatBoolVars","nodes","boolVariables","propagators","backjumps","baseMem","evaluatedReifiedConstraints","flatIntConstraints","nSolutions","evaluatedHalfReifiedConstraints","flatBoolConstraints","run","trailMem","solveTime","flatTime","method","eliminatedLinearConstraints","flatIntVars","variables","intVars","nogoods","propagations","peakMem","failures","restarts","peakDepth","paths","initTime","openNodes"
"chuffed_fixed_standard_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t008-01.dzn","SATISFIED","0.5263052259106189","","","","-1878633633","185","11","5423","345","0","0.0","66","342","1","9","33","sat_reverse-cp2025_big","0.08","0.006","0.226978","satisfy","","133","5562","137","0","1163","0.0","0","0","10","0","0.029",""
"cpotimizer_free_fixedorder_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t017-06.dzn","SATISFIED","8.851852823980153","","","847","","28011","2451","","18073","","","25478","27832","1","","16489","sat_reverse-cp2025_big","","2.79","2.15752","satisfy","","2412","3151","","","","552.0","1113","","","0","1.44",""
"chuffed_fixed_fixedorder_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t030-01.dzn","SATISFIED","24.20722345705144","","","2420","1630950096","79514","11041","195255","144023","2939","0.0","72870","75793","1","1376","47855","sat_reverse-cp2025_big","10.68","7.532","4.96931","satisfy","","4532","199828","4571","7064","67990011","0.0","7064","0","1037","0","7.065",""
"chuffed_fixed_fixedorderrestart_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t007-03.dzn","SATISFIED","0.8257241130340844","","","121","-914862744","1640","67","4130","2582","0","0.0","1144","1721","1","71","1143","sat_reverse-cp2025_big","0.63","0.011","0.33881","satisfy","","435","4572","440","0","12437","0.0","0","0","66","0","0.139",""
"chuffed_fixed_priority_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t004-05.dzn","SATISFIED","0.8941070779692382","","","121","933852320","833","57","299011","912","0","0.0","482","650","1","74","812","sat_reverse-cp2025_big","0.42","0.011","0.259668","satisfy","","239","299256","243","0","2055","0.0","0","0","56","0","0.269",""
"cpsat_fixed_standard_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t015-01.dzn","ALL_SOLUTIONS","17.79977879486978","0","0","1210","","3370","","1836","","","","945","4384","1","945","3025","sat_reverse-cp2025_big","","9.30411","0.91457","satisfy","","2096","","","","4772590","","15922","","","0","",""
"cpsat_fixed_fixedorder_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t022-01.dzn","ALL_SOLUTIONS","21.251678256085142","0","0","2904","","6716","","2838","","","","2268","6769","1","2268","7260","sat_reverse-cp2025_big","","4.09023","1.36693","satisfy","","3290","","","","2119710","","9541","","","0","",""
"chuffed_fixed_standardrestart_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t025-03.dzn","UNKNOWN","304.5346803681459","","","1815","","62138","","","","","","56832","59878","0","1035","36981","sat_reverse-cp2025_big","","","4.16817","satisfy","","3789","","","","","","","","","0","",""
"chuffed_fixed_fixedorderrestart_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t014-06.dzn","SATISFIED","6.305962315062061","","","605","48040377","20156","1126","80451","36721","184","0.0","17746","20488","1","353","11728","sat_reverse-cp2025_big","16.02","0.447","1.72117","satisfy","","2075","82565","2112","460","4249918","0.0","460","2","325","0","2.405",""
"cpotimizer_free_fixedorder_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t008-02.dzn","SATISFIED","0.7083028859924525","","","121","","1186","81","","1213","","","805","1165","1","","935","sat_reverse-cp2025_big","","0.05","0.277776","satisfy","","364","490","","","","22.0","33","","","0","0.04",""
"chuffed_fixed_standard_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t016-05.dzn","SATISFIED","230.67911792709492","","","968","1654535290","31615","182855","503831","57461","98578","0.0","28270","31308","1","553","18703","sat_reverse-cp2025_big","16.02","222.009","2.46136","satisfy","","2680","506553","2720","83840","1621043119","0.0","83840","0","436","0","3.626",""
"chuffed_fixed_fixedorderrestart_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t006-01.dzn","SATISFIED","0.8273684049490839","","","242","1854554521","2071","109","3622","2681","0","0.0","1378","1736","1","139","1831","sat_reverse-cp2025_big","1.41","0.009","0.347647","satisfy","","487","4115","491","0","7091","0.0","0","0","108","0","0.134",""
"chuffed_fixed_standard_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t030-02.dzn","UNKNOWN","305.9000775339082","","","2420","","81370","","","","","","74726","77649","0","1376","48783","sat_reverse-cp2025_big","","","4.9231","satisfy","","4532","","","","","","","","","0","",""
"cpsat_free_fixedorder_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t005-02.dzn","ALL_SOLUTIONS","1.9819562879856676","0","0","484","","1328","","51","","","","378","1763","1","378","1210","sat_reverse-cp2025_big","","0.256977","0.434254","satisfy","","829","","","","7930","","0","","","0","",""
"chuffed_free_priority_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t021-01.dzn","UNKNOWN","304.01581221888773","","","1331","","41523","","","","","","37358","40318","0","766","24960","sat_reverse-cp2025_big","","","3.07123","satisfy","","3119","","","","","","","","","0","",""
"chuffed_fixed_priorityrestart_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t012-02.dzn","SATISFIED","2.2728124209679663","","","242","1914795424","6262","2164","27079","11033","697","0.0","5080","6691","1","156","3682","sat_reverse-cp2025_big","1.41","0.108","0.770211","satisfy","","1076","28178","1097","1263","1249500","0.0","1263","4","145","0","0.691",""
"chuffed_fixed_fixedorder_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t005-05.dzn","SATISFIED","1.350675272056833","","","242","-1361304866","4028","448","16763","6732","90","0.0","3072","4183","1","136","2678","sat_reverse-cp2025_big","2.11","0.064","0.577996","satisfy","","836","17615","850","229","492239","0.0","229","0","128","0","0.272",""
"chuffed_fixed_standardrestart_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t022-01.dzn","UNKNOWN","303.9394845268689","","","1452","","50508","","","","","","46044","49070","0","832","29874","sat_reverse-cp2025_big","","","3.39781","satisfy","","3306","","","","","","","","","0","",""
"cpotimizer_free_fixedorder_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t005-03.dzn","SATISFIED","0.6131860380992293","","","121","","1000","12","","947","","","673","891","1","","870","sat_reverse-cp2025_big","","0.04","0.256402","satisfy","","296","372","","","","11.0","0","","","0","0.03",""
"chuffed_free_priority_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t011-01.dzn","SATISFIED","33.21880227001384","","","363","2145930945","9149","5000","1575982","16127","2764","0.0","7610","9467","1","220","5518","sat_reverse-cp2025_big","16.02","30.03","0.942632","satisfy","","1345","1577355","1371","1717","45602609","0.0","1717","9","687","0","0.912",""
"chuffed_fixed_fixedorder_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t001-01.dzn","SATISFIED","0.44706012587994337","","","","-77777178","14","1","10807","31","0","0.0","","36","1","","","sat_reverse-cp2025_big","0.05","0.001","0.182726","satisfy","","17","10828","19","0","52","0.0","0","0","0","0","0.011",""
"chuffed_fixed_priority_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t004-04.dzn","SATISFIED","1.5116739207878709","","","121","1051399391","1089","64","564388","1456","0","0.0","676","1021","1","72","909","sat_reverse-cp2025_big","0.94","0.016","0.291667","satisfy","","322","564985","595","0","4492","0.0","0","0","63","0","0.79",""
"cpsat_fixed_fixedorder_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t005-02.dzn","ALL_SOLUTIONS","1.9501891508698463","0","0","484","","1328","","193","","","","378","1763","1","378","1210","sat_reverse-cp2025_big","","0.2359","0.433526","satisfy","","829","","","","40511","","111","","","0","",""
"gurobi_free_fixedorder_col0","reverse-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t019-05.dzn","SATISFIED","46.21517284098081","","","","","4574","1","","","","","6255","61646","1","35957","","sat_reverse-cp2025_big","","44.8992","10.7693","satisfy","2745","39328","","","","","","","","","0","",""
