"configuration","problem","model","data_file","status","time","paths","randomSeed","nSolutions","flatIntConstraints","propagations","failures","baseMem","evaluatedReifiedConstraints","solveTime","openNodes","eliminatedImplications","intVars","initTime","optTime","eliminatedLinearConstraints","trailMem","variables","restarts","peakMem","flatBoolVars","solver_objective","run","flatTime","boolVariables","objectiveBound","peakDepth","propagators","nodes","flatBoolConstraints","flatIntVars","backjumps","evaluatedHalfReifiedConstraints","objective","nogoods","method"
"chuffed_fixed_priorityrestart_col0","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t017-03.dzn","SATISFIED","301.4186302559683","0","-1700592501","1","9572","1861082586","517135","0.0","8726","299.04","","847","1517","0.689","0.057","","3.16","48911","19","0.0","11003","26257","endtimes_appear-cp2025","0.951064","47392","","365","16796","523507","8360","1508","5619","482","26257","517135","minimize"
"chuffed_fixed_fixedorder_col3","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t017-01.dzn","OPTIMAL_SOLUTION","2.9752927720546722","0","-2366705","2","10512","1015213","94","0.0","9043","0.163","","987","2020","0.884","0.121","","0.63","30559","2","0.0","11503","29910","endtimes_appear-cp2025","1.11935","28537","","367","17986","1440","8872","2009","648","710","29910","94","minimize"
"cpsat_fixed_standard_col4","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t009-01.dzn","OPTIMAL_SOLUTION","1.6547820849809796","0","","3","1564","49704","22","","588","0.35158","","786","","","","","","","","","1633","9086","endtimes_appear-cp2025","0.423831","289","9086","","","","1929","773","","648","9086","","minimize"
"cpsat_fixed_standard_col0","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t025-01.dzn","SATISFIED","301.86308218201157","0","","3","6116","6814909","5396","","2835","7.58264","","3630","","","","","","","","","7546","75105","endtimes_appear-cp2025","1.1559","1231","74873","","","","9075","3028","","2835","75105","","minimize"
"chuffed_fixed_fixedorder_col3","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t018-04.dzn","SATISFIED","302.2114221820375","0","","1","12935","","","","11314","","","1128","","","","","","","","","14097","","endtimes_appear-cp2025","1.34831","","","","","","10629","2266","","811","37347","","minimize"
"chuffed_fixed_priority_col4","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t016-03.dzn","OPTIMAL_SOLUTION","2.4035246369894594","0","899886362","2","8174","93105","7","0.0","7050","0.057","","816","1603","0.711","0.05","","10.68","18418","2","0.0","9120","34385","endtimes_appear-cp2025","0.918687","16813","","317","13805","645","7173","1597","5","552","34385","7","minimize"
"chuffed_fixed_fixedorder_col2","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t045-02.dzn","SATISFIED","310.1081486589974","0","","5","157955","","","","150359","","","5460","","","","","","","","","162309","","endtimes_appear-cp2025","10.2066","","","","","","98227","10756","","4314","228890","","minimize"
"cpotimizer_free_fixedorder_col3","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t035-01.dzn","UNKNOWN","305.5973663710756","0","","0","83025","","","","81862","","","3150","","5.33","","","","5796","","1472.0","87983","","endtimes_appear-cp2025","5.92599","","","","50858","","55200","6145","","","","","minimize"
"cpotimizer_free_fixedorder_col0","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t025-01.dzn","SATISFIED","303.3498168189544","0","","15","32788","","22117","","32402","36.99","","1815","","1.88","","","","3085","","724.0","36093","75041","endtimes_appear-cp2025","2.47022","","74776","","21231","46697","24250","3022","","","75041","","minimize"
"chuffed_fixed_priority_col0","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t050-02.dzn","SATISFIED","310.60451393492986","0","","2","193030","","","","189740","","","4840","","","","","","","","","202085","","endtimes_appear-cp2025","11.6626","","","","","","117710","7845","","2729","267539","","minimize"
