"configuration","problem","model","data_file","status","time","paths","randomSeed","nSolutions","flatIntConstraints","propagations","failures","baseMem","evaluatedReifiedConstraints","solveTime","openNodes","eliminatedImplications","intVars","initTime","optTime","eliminatedLinearConstraints","trailMem","variables","restarts","peakMem","flatBoolVars","solver_objective","run","flatTime","boolVariables","objectiveBound","peakDepth","propagators","nodes","flatBoolConstraints","flatIntVars","backjumps","evaluatedHalfReifiedConstraints","objective","nogoods","method"
"cpsat_free_fixedorder_col4","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t030-01.dzn","OPTIMAL_SOLUTION","95.77009221503977","0","","24","9125","7668410","5852","","3920","75.1095","","5240","","","","","","","","","10416","108504","endtimes_appear-cp2025","1.61197","1739","108504","","","","12860","4638","","4320","108504","","minimize"
"chuffed_fixed_priorityrestart_col4","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t010-02.dzn","OPTIMAL_SOLUTION","0.9698078490328044","0","1666427568","1","2001","15539","7","0.0","1479","0.013","","267","605","0.166","0.012","","1.41","13858","1","0.0","2240","13887","endtimes_appear-cp2025","0.426293","13251","","111","2987","126","1942","601","10","178","13887","7","minimize"
"gurobi_free_fixedorder_col0","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t004-02.dzn","OPTIMAL_SOLUTION","0.5067636090097949","0","","2","279","","","","170","0.24","","","","","","","","","","","83","2598","endtimes_appear-cp2025","0.233963","","2598","","","0","","243","","253","2598","","minimize"
"chuffed_fixed_standardrestart_col0","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t012-05.dzn","OPTIMAL_SOLUTION","0.9729185469914228","0","-1959748100","1","2098","21499","5","0.0","1616","0.012","","242","552","0.196","0.012","","0.12","7120","1","0.0","2377","12868","endtimes_appear-cp2025","0.39476","6566","","110","3195","124","1950","551","9","151","12868","5","minimize"
"gurobi_free_fixedorder_col1","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t010-05.dzn","OPTIMAL_SOLUTION","4.5776395769789815","0","","4","18284","","","","3193","4.0601","","","","","","1718","","","","","1750","12189","endtimes_appear-cp2025","2.89339","","12189","","","1","","9753","","6123","12189","","minimize"
"chuffed_fixed_fixedorderrestart_col4","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t012-01.dzn","OPTIMAL_SOLUTION","1.4872784559847787","0","862789213","1","4550","27975","4","0.0","3750","0.015","","544","1098","0.326","0.015","","3.16","19806","1","0.0","5148","15238","endtimes_appear-cp2025","0.635693","18706","","208","7383","212","4307","1091","0","366","15238","4","minimize"
"chuffed_fixed_standard_col0","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t020-01.dzn","OPTIMAL_SOLUTION","4.813094142940827","0","-119249221","2","16698","6003615","762","0.0","15632","0.681","","1210","2096","1.513","0.097","","1.41","42736","2","0.0","18821","46220","endtimes_appear-cp2025","1.39056","40638","","508","30259","3247","13526","2083","1469","683","46220","762","minimize"
"gurobi_free_fixedorder_col1","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t045-01.dzn","UNKNOWN","315.4547523409128","0","","0","403043","","","","47648","231.9966","","","","","","14808","","","","","14425","","endtimes_appear-cp2025","67.9609","","205653.090529","","","1","","228780","","163390","","","minimize"
"chuffed_fixed_fixedorder_col2","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t016-04.dzn","OPTIMAL_SOLUTION","2.524673733045347","0","-802785951","1","8795","39673","0","0.0","7130","0.025","","936","2044","0.678","0.024","","4.75","24455","1","0.0","9359","30223","endtimes_appear-cp2025","1.0747","22409","","321","14512","321","7516","2031","0","741","30223","0","minimize"
"cpsat_fixed_standard_col2","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t021-03.dzn","SATISFIED","301.2323528940324","0","","2","6066","29275849","17459","","2244","34.761","","3157","","","","","","","","","6145","52284","endtimes_appear-cp2025","1.24567","1388","51475","","","","7645","3189","","2794","52284","","minimize"
"chuffed_fixed_fixedorder_col1","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t020-01.dzn","OPTIMAL_SOLUTION","5.595099134021439","0","-1141257305","3","20819","361392","13","0.0","16226","0.202","","1960","4870","1.784","0.194","","2.11","54333","3","0.0","20351","46220","endtimes_appear-cp2025","2.18864","49461","","508","34458","1550","15778","4853","17","2113","46220","13","minimize"
"chuffed_fixed_standard_col4","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t006-04.dzn","OPTIMAL_SOLUTION","0.6514268550090492","0","-1749370643","1","851","4382","1","0.0","546","0.007","","136","329","0.07","0.007","","0.42","9418","1","0.0","943","4476","endtimes_appear-cp2025","0.279153","9087","","55","1150","58","881","326","2","96","4476","1","minimize"
"cpsat_fixed_fixedorder_col2","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t015-01.dzn","OPTIMAL_SOLUTION","4.179588894941844","0","","1","3032","110371","46","","1020","0.818878","","1435","","","","","","","","","2911","18101","endtimes_appear-cp2025","0.71544","556","18101","","","","3475","1575","","1270","18101","","minimize"
"chuffed_fixed_fixedorder_col2","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t025-03.dzn","OPTIMAL_SOLUTION","7.601772111025639","0","1442308256","2","37079","578848","17","0.0","33569","0.293","","2340","4763","2.489","0.205","","24.03","105540","2","0.0","38813","73379","endtimes_appear-cp2025","2.85838","100775","","770","67165","1593","26662","4740","38","1848","73379","17","minimize"
"chuffed_fixed_fixedorderrestart_col2","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t050-02.dzn","SATISFIED","311.3954637799179","0","","2","201341","","","","192720","","","6240","","","","","","","","","206345","","endtimes_appear-cp2025","12.67","","","","","","122700","12261","","4929","267539","","minimize"
"chuffed_fixed_standard_col0","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t016-05.dzn","OPTIMAL_SOLUTION","35.08025212492794","0","1146879822","1","11235","201200775","19143","0.0","10370","31.979","","968","1682","1.077","0.031","","7.12","47517","1","0.0","12923","29533","endtimes_appear-cp2025","1.09397","45833","","414","19947","115779","9753","1673","96222","547","29533","19143","minimize"
"gurobi_free_fixedorder_col2","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t050-01.dzn","UNKNOWN","315.87755002093036","0","","0","395212","","","","31314","225.2283","","","","","","14674","","","","","16137","","endtimes_appear-cp2025","74.7153","","303960.518887","","","1","","238938","","201181","","","minimize"
"cpsat_fixed_standard_col0","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t010-01.dzn","OPTIMAL_SOLUTION","1.9798349679913372","0","","1","1436","45936","107","","567","0.285624","","726","","","","","","","","","1576","14274","endtimes_appear-cp2025","0.369566","248","14274","","","","1815","694","","567","14274","","minimize"
"cpotimizer_free_fixedorder_col1","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t019-03.dzn","UNKNOWN","302.28828650002833","0","","0","19240","","13690359","","17688","298.07","","1179","","1.31","","","","3253","","359.0","20113","","endtimes_appear-cp2025","1.92932","","45349","","14807","27488054","14790","3672","","","","","minimize"
"chuffed_fixed_standardrestart_col0","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t006-02.dzn","OPTIMAL_SOLUTION","0.7506167939864099","0","1084357225","1","1378","6295","1","0.0","1118","0.01","","242","447","0.094","0.01","","1.41","4795","1","0.0","1785","3091","endtimes_appear-cp2025","0.323782","4346","","108","2074","109","1701","440","0","139","3091","1","minimize"
"chuffed_fixed_standardrestart_col1","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t009-06.dzn","OPTIMAL_SOLUTION","1.1675655520521104","0","-1148788535","1","2703","29357","7","0.0","1548","0.019","","392","1106","0.169","0.015","","0.28","15138","1","0.0","2522","10112","endtimes_appear-cp2025","0.597134","14030","","108","3728","131","2307","1101","16","428","10112","7","minimize"
"chuffed_fixed_priorityrestart_col4","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t015-03.dzn","OPTIMAL_SOLUTION","2.085635203984566","0","255145806","3","6587","135681","18","0.0","5594","0.064","","680","1366","0.605","0.064","","1.41","18961","3","0.0","7341","25369","endtimes_appear-cp2025","0.766322","17593","","267","11039","852","5837","1359","39","456","25369","18","minimize"
"cpsat_fixed_fixedorder_col2","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t009-06.dzn","OPTIMAL_SOLUTION","1.6319256629794836","0","","1","1354","53675","70","","408","0.306827","","574","","","","","","","","","1226","10112","endtimes_appear-cp2025","0.420004","273","10112","","","","1390","694","","508","10112","","minimize"
"chuffed_free_priority_col1","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t045-02.dzn","UNKNOWN","310.73324413597584","0","","0","166219","","","","151361","","","6860","","","","","","","","","165067","","endtimes_appear-cp2025","11.5347","","","","","","102508","16324","","7394","","","minimize"
"gurobi_free_fixedorder_col1","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t005-04.dzn","OPTIMAL_SOLUTION","0.7646499349502847","0","","6","852","","","","240","0.4779","","","","","","","","","","","106","3996","endtimes_appear-cp2025","0.459102","","3996","","","1","","622","","736","3996","","minimize"
"chuffed_fixed_priorityrestart_col3","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t018-02.dzn","OPTIMAL_SOLUTION","11.059017786988989","0","-466293034","2","13727","64598999","11216","0.0","12106","7.523","","1128","2280","1.151","0.07","","10.68","38240","11","0.0","14889","40742","endtimes_appear-cp2025","1.37008","35958","","419","24046","12277","11025","2266","120","811","40742","11216","minimize"
"gurobi_free_fixedorder_col1","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t021-01.dzn","OPTIMAL_SOLUTION","21.704417804954574","0","","3","70104","","","","10867","20.4782","","","","","","4686","","","","","4679","50364","endtimes_appear-cp2025","10.7172","","50364","","","1","","38061","","24440","50364","","minimize"
"cpsat_fixed_fixedorder_col0","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t009-05.dzn","OPTIMAL_SOLUTION","1.8690103789558634","0","","3","1746","40302","39","","756","0.384563","","968","","","","","","","","","2044","6248","endtimes_appear-cp2025","0.439676","300","6248","","","","2420","849","","756","6248","","minimize"
"cpsat_fixed_fixedorder_col0","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t003-05.dzn","UNKNOWN","0.5160999760264531","0","","0","122","0","0","","","0.003155","","","","","","","","","","","42","0","endtimes_appear-cp2025","0.18611","0","0","","","","","50","","","","","minimize"
"cpotimizer_free_fixedorder_col0","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t016-03.dzn","OPTIMAL_SOLUTION","114.16957678901963","0","","3","7639","","13992","","7298","112.11","","726","","0.4","","","","1402","","157.0","8856","34385","endtimes_appear-cp2025","0.831461","","34382","","5934","27158","6865","1303","","","34385","","minimize"
"cpsat_fixed_standard_col3","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t045-02.dzn","UNKNOWN","307.0724697780097","0","","0","16393","","","","6895","","","9345","","","","","","","","","18396","","endtimes_appear-cp2025","2.90601","","","","","","22995","8534","","7945","","","minimize"
"gurobi_free_fixedorder_col4","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t004-05.dzn","OPTIMAL_SOLUTION","0.8141219449462369","0","","3","2202","","","","525","0.5117","","","","","","312","","","","","438","1635","endtimes_appear-cp2025","0.468659","","1635","","","0","","1208","","822","1635","","minimize"
"chuffed_fixed_priority_col1","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t010-01.dzn","OPTIMAL_SOLUTION","1.6206115280510858","0","-1256769912","1","4125","718233","125","0.0","2555","0.156","","588","1569","0.31","0.024","","0.94","56308","1","0.0","3909","14274","endtimes_appear-cp2025","0.689058","54737","","154","5910","791","3577","1562","513","636","14274","125","minimize"
"cpotimizer_free_fixedorder_col0","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t035-03.dzn","SATISFIED","304.48916031594854","0","","92","80978","","17297","","80540","287.54","","3025","","3.55","","","","4951","","896.0","86601","167450","endtimes_appear-cp2025","4.96941","","144142","","48353","40130","53692","4930","","","167450","","minimize"
"chuffed_fixed_standardrestart_col4","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t016-01.dzn","OPTIMAL_SOLUTION","2.1619283399777487","0","2123745016","1","8260","49046","1","0.0","7140","0.022","","816","1604","0.643","0.021","","16.02","20787","1","0.0","9204","34901","endtimes_appear-cp2025","0.840044","19181","","318","14041","333","7218","1595","14","546","34901","1","minimize"
"cpotimizer_free_fixedorder_col3","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t014-02.dzn","UNKNOWN","301.0264765470056","0","","0","6158","","1932868","","5665","299.23","","630","","0.37","","","","1440","","123.0","7026","","endtimes_appear-cp2025","0.769051","","24773","","5264","3872022","5683","1368","","","","","minimize"
"cpsat_free_fixedorder_col4","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t040-01.dzn","SATISFIED","304.27928218699526","0","","19","13488","12067530","2117","","5880","110.355","","7860","","","","","","","","","15546","180022","endtimes_appear-cp2025","2.30017","1968","179769","","","","19290","6868","","6480","180022","","minimize"
"chuffed_fixed_priorityrestart_col3","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t011-02.dzn","OPTIMAL_SOLUTION","1.573067493038252","0","-834058243","2","4409","183373","91","0.0","3514","0.057","","564","1185","0.358","0.034","","2.11","13599","2","0.0","4947","13873","endtimes_appear-cp2025","0.664102","12412","","209","7025","532","4243","1180","24","407","13873","91","minimize"
"cpsat_fixed_fixedorder_col2","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t016-03.dzn","OPTIMAL_SOLUTION","4.900721976999193","0","","2","3511","133588","8","","1224","0.998793","","1722","","","","","","","","","3450","34385","endtimes_appear-cp2025","0.797361","618","34385","","","","4170","1836","","1524","34385","","minimize"
"gurobi_free_fixedorder_col3","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t014-06.dzn","OPTIMAL_SOLUTION","4.703634273028001","0","","3","18092","","","","3339","4.1877","","","","","","1744","","","","","2118","26016","endtimes_appear-cp2025","2.70567","","26016","","","1","","9939","","6706","26016","","minimize"
"cpsat_fixed_standard_col3","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t014-02.dzn","OPTIMAL_SOLUTION","3.659544372931123","0","","1","2672","63177","20","","985","0.656736","","1335","","","","","","","","","2776","24836","endtimes_appear-cp2025","0.600647","439","24836","","","","3285","1374","","1135","24836","","minimize"
"chuffed_fixed_standard_col2","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t005-03.dzn","OPTIMAL_SOLUTION","1.3872686099493876","0","149970787","1","763","2736","0","0.0","500","0.016","","136","532","0.702","0.014","","2.11","473762","1","0.0","878","3795","endtimes_appear-cp2025","0.270707","473228","","56","1026","56","858","305","0","93","3795","0","minimize"
"cpotimizer_free_fixedorder_col4","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t045-02.dzn","UNKNOWN","309.8883537389338","0","","0","154245","","","","153063","","","4410","","8.27","","","","7488","","3061.0","161514","","endtimes_appear-cp2025","9.80598","","","","89288","","96232","7976","","","","","minimize"
"gurobi_free_fixedorder_col0","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t015-05.dzn","OPTIMAL_SOLUTION","3.3581788070732728","0","","2","15078","","","","2405","2.9217","","","","","","1525","","","","","2070","19259","endtimes_appear-cp2025","2.19394","","19259","","","1","","8730","","6808","19259","","minimize"
"chuffed_fixed_fixedorder_col4","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t014-06.dzn","OPTIMAL_SOLUTION","1.9476437799166888","0","-1437862444","1","6162","175898","30","0.0","5200","0.053","","680","1349","0.542","0.027","","7.12","28311","1","0.0","6934","26016","endtimes_appear-cp2025","0.756516","26960","","262","10198","388","5640","1344","120","459","26016","30","minimize"
"chuffed_fixed_priority_col3","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t006-06.dzn","OPTIMAL_SOLUTION","0.6361136749619618","0","377948401","1","932","5551","1","0.0","577","0.005","","141","367","0.055","0.004","","0.63","6292","1","0.0","1003","3891","endtimes_appear-cp2025","0.296566","5923","","60","1270","61","910","359","0","104","3891","1","minimize"
"chuffed_fixed_standardrestart_col4","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t016-03.dzn","OPTIMAL_SOLUTION","2.377516111941077","0","1351338772","1","8174","84348","6","0.0","7050","0.034","","816","1603","0.718","0.026","","10.68","17513","1","0.0","9120","34385","endtimes_appear-cp2025","0.903812","15908","","317","13805","370","7173","1597","47","552","34385","6","minimize"
"chuffed_fixed_priorityrestart_col3","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t015-02.dzn","SATISFIED","301.4369709820021","0","-1954186221","1","6399","798190731","354644","0.0","5241","299.124","","705","1501","0.694","0.258","","3.16","64418","18","0.0","7058","27633","endtimes_appear-cp2025","0.867893","62915","","257","10484","356878","5728","1493","1552","511","27633","354644","minimize"
"cpotimizer_free_fixedorder_col3","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t025-02.dzn","UNKNOWN","303.0879784830613","0","","0","33976","","","","33123","","","1890","","2.23","","","","3640","","629.0","36874","","endtimes_appear-cp2025","2.66541","","","","22779","","25122","3767","","","","","minimize"
"chuffed_fixed_priority_col2","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t010-05.dzn","OPTIMAL_SOLUTION","1.5873312099138275","0","-1403135204","2","5046","63802","3","0.0","3970","0.039","","624","1351","0.325","0.039","","1.41","27128","2","0.0","5441","12189","endtimes_appear-cp2025","0.717973","25775","","211","8076","423","4619","1341","0","495","12189","3","minimize"
"chuffed_fixed_priority_col4","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t020-02.dzn","OPTIMAL_SOLUTION","4.726260837982409","0","-1334577643","3","17560","355029","16","0.0","15930","0.192","","1360","2551","1.679","0.139","","3.16","54416","3","0.0","19265","58052","endtimes_appear-cp2025","1.53616","51863","","511","31217","1565","14045","2540","16","909","58052","16","minimize"
"cpsat_free_fixedorder_col1","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t018-02.dzn","OPTIMAL_SOLUTION","9.119333315989934","0","","4","5937","487474","153","","1696","3.18949","","2616","","","","","","","","","5052","40742","endtimes_appear-cp2025","1.23262","783","40742","","","","6456","3303","","2736","40742","","minimize"
"chuffed_fixed_priority_col2","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t008-01.dzn","OPTIMAL_SOLUTION","0.5540218410314992","0","-1840853033","1","426","1690","0","0.0","94","0.006","","","176","0.031","0.006","","0.19","8217","1","0.0","255","7170","endtimes_appear-cp2025","0.259772","8039","","11","485","11","47","166","0","3","7170","0","minimize"
"cpotimizer_free_fixedorder_col3","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t009-04.dzn","UNKNOWN","300.63842623098753","0","","0","4059","","1058875","","3737","299.45","","504","","0.19","","","","1068","","72.0","4783","","endtimes_appear-cp2025","0.546697","","8308","","3684","2124639","4151","1054","","","","","minimize"
"chuffed_fixed_standard_col1","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t045-02.dzn","UNKNOWN","310.67641195096076","0","","0","166219","","","","151361","","","6860","","","","","","","","","165067","","endtimes_appear-cp2025","11.6486","","","","","","102508","16324","","7394","","","minimize"
"chuffed_fixed_priority_col4","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t017-04.dzn","SATISFIED","302.06767317291815","0","","4","12161","","","","10820","","","1088","","","","","","","","","13502","","endtimes_appear-cp2025","1.23808","","","","","","10274","2051","","726","37792","","minimize"
"cpotimizer_free_fixedorder_col0","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t017-01.dzn","OPTIMAL_SOLUTION","99.1488871719921","0","","2","9780","","31451","","9431","96.9","","847","","0.42","","","","1583","","217.0","11226","29910","endtimes_appear-cp2025","0.89701","","29908","","7310","64034","8473","1491","","","29910","","minimize"
"chuffed_free_priority_col1","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t040-02.dzn","OPTIMAL_SOLUTION","44.98538018297404","0","-56091834","4","129477","63495483","1921","0.0","116674","16.669","","5880","14063","11.429","15.063","","24.03","979323","14","0.0","128465","169590","endtimes_appear-cp2025","9.46364","965258","","1518","238114","26419","81332","14029","18061","6339","169590","1921","minimize"
"chuffed_fixed_priorityrestart_col1","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t013-03.dzn","OPTIMAL_SOLUTION","125.97153733100276","0","-1530220460","2","4396","330497799","198054","0.0","2695","124.186","","588","1640","0.344","2.782","","4.75","143457","18","0.0","4148","21084","endtimes_appear-cp2025","0.837068","141815","","159","6273","233441","3647","1634","34920","645","21084","198054","minimize"
"cpotimizer_free_fixedorder_col0","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t016-02.dzn","OPTIMAL_SOLUTION","81.41601829696447","0","","6","7951","","30009","","7610","79.39","","726","","0.37","","","","1402","","185.0","9168","31925","endtimes_appear-cp2025","0.783307","","31922","","6090","60569","7021","1303","","","31925","","minimize"
"chuffed_fixed_priority_col3","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t019-01.dzn","OPTIMAL_SOLUTION","3.7205148390494287","0","-1259425277","3","15904","213277","8","0.0","14145","0.124","","1269","2530","1.126","0.123","","7.12","35433","3","0.0","17257","39122","endtimes_appear-cp2025","1.43258","32901","","473","27966","1441","12666","2519","18","918","39122","8","minimize"
"cpsat_fixed_standard_col0","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t010-06.dzn","OPTIMAL_SOLUTION","2.0755357309244573","0","","1","1795","16991","1","","756","0.322339","","968","","","","","","","","","2058","10542","endtimes_appear-cp2025","0.449828","290","10542","","","","2420","873","","756","10542","","minimize"
"chuffed_fixed_priorityrestart_col1","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t022-03.dzn","OPTIMAL_SOLUTION","7.440074352896772","0","1105067185","1","27876","875246","84","0.0","22466","0.305","","2352","5788","2.522","0.113","","2.11","111242","1","0.0","27360","52112","endtimes_appear-cp2025","2.69168","105452","","601","47182","831","20431","5769","147","2538","52112","84","minimize"
"cpotimizer_free_fixedorder_col2","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t015-06.dzn","UNKNOWN","300.96522105508484","0","","0","6928","","1637520","","6260","299.18","","655","","0.34","","","","1609","","117.0","7661","","endtimes_appear-cp2025","0.821559","","20855","","5913","3283623","6112","1564","","","","","minimize"
"chuffed_fixed_priority_col1","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t017-04.dzn","SATISFIED","302.2109470310388","0","","4","14748","","","","11030","","","1568","","","","","","","","","14362","","endtimes_appear-cp2025","1.73732","","","","","","11647","3907","","1694","37792","","minimize"
"gurobi_free_fixedorder_col4","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t030-02.dzn","OPTIMAL_SOLUTION","129.93745757290162","0","","13","110050","","","","8626","127.4143","","","","","","6580","","","","","7908","103570","endtimes_appear-cp2025","19.4887","","103570","","","5","","67132","","58819","103570","","minimize"
"chuffed_fixed_fixedorder_col1","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t007-02.dzn","OPTIMAL_SOLUTION","1.1920594779076055","0","-119462254","1","4142","17254","0","0.0","2713","0.015","","588","1496","0.189","0.015","","2.11","21081","1","0.0","3978","6647","endtimes_appear-cp2025","0.600997","19583","","160","6096","160","3656","1483","0","633","6647","0","minimize"
"chuffed_fixed_fixedorderrestart_col2","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t030-03.dzn","SATISFIED","304.82718124904204","0","","6","59309","","","","54802","","","3120","","","","","","","","","61733","","endtimes_appear-cp2025","4.53586","","","","","","40571","6237","","2475","130476","","minimize"
"chuffed_fixed_fixedorderrestart_col4","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t013-03.dzn","OPTIMAL_SOLUTION","174.3094535790151","0","-1689303923","2","3357","649026802","277588","0.0","2614","172.882","","408","893","0.32","3.566","","4.75","94208","18","0.0","3733","21084","endtimes_appear-cp2025","0.575907","93313","","158","5227","708206","3131","889","430201","282","21084","277588","minimize"
"cpsat_fixed_fixedorder_col1","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t021-01.dzn","OPTIMAL_SOLUTION","11.6799097340554","0","","2","7954","790004","67","","2332","3.35171","","3597","","","","","","","","","6837","50364","endtimes_appear-cp2025","1.50694","1795","50364","","","","8877","4440","","3762","50364","","minimize"
"chuffed_free_priority_col3","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t016-01.dzn","OPTIMAL_SOLUTION","2.3057171480031684","0","838363123","2","8344","72999","1","0.0","7034","0.048","","846","1761","0.654","0.048","","16.02","21456","2","0.0","9174","34901","endtimes_appear-cp2025","0.930248","19693","","320","14000","639","7246","1750","0","612","34901","1","minimize"
"chuffed_free_priority_col2","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t019-01.dzn","OPTIMAL_SOLUTION","3.8977880500024185","0","-471142599","3","16755","236597","8","0.0","14489","0.135","","1404","2944","1.159","0.134","","7.12","45056","3","0.0","17729","39122","endtimes_appear-cp2025","1.54279","42110","","473","29063","1441","13171","2930","18","1116","39122","8","minimize"
